标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
近番禺广场小区管理，实用精装三房，东城配套,德安新村 ,市桥,近地铁 VR看装修 房本满五年 随时看房,18,一年前发布,3室2厅,72.3平米,南,精装,中楼层(共7层),1993年,塔楼,1100000.0,15215
华景新城五期安静三房两卫 得房率高,华景新城怡景园 ,华景新城,VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,96.78平米,西南东南东,简装,低楼层(共10层),1998年,塔楼,3990000.0,41228
观海美寓 精装三房 随时可以看房,观海美寓 ,南沙湾,近地铁 VR看装修 房本满五年,0,一年前发布,2室2厅,85.74平米,西北,精装,中楼层(共17层),,塔楼,1000000.0,11664
小面积实用户型，采光好，楼距宽，华师附旁.,雪域澜庭A1区 ,花城街,VR看装修 房本满两年 随时看房,0,5个月以前发布,1室1厅,45.03平米,西,精装,低楼层(共31层),2018年,塔楼,800000.0,17766
岭南公馆 马鞍山旁 精装三房 配套完善成熟,岭南公馆 ,新区,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,96.67平米,西南,其他,中楼层(共18层),2010年,塔楼,1400000.0,14483
全新装修，园芯位置，北向高层，保养很漂亮，拎包入住,富力金港城东区 ,花东镇,VR看装修 房本满五年,0,9个月以前发布,2室1厅,83.15平米,北,简装,高楼层(共11层),2014年,塔楼,730000.0,8780
大型小区 电梯温馨精装小两 房产权清晰 保养好东南向,鸿图苑 ,汾水,VR看装修 房本满两年,2,3个月以前发布,2室1厅,51.28平米,东南,精装,中楼层(共9层),1997年,塔楼,1280000.0,24961
金融城内举步繁华少有低预算三房,天成居 ,车陂,近地铁 VR房源 房本满五年,0,6个月以前发布,3室2厅,102.11平米,北,简装,中楼层(共16层),2000年,塔楼,3700000.0,36236
三大房含两大露台  拎包入住 配套成熟 智能小区,绿地珑玥府 ,荔城增江,VR看装修 房本满两年,0,3个月以前发布,4室2厅,115.18平米,南,精装,高楼层(共31层),,塔楼,1200000.0,10419
燕塘地铁3/6号线 金燕花苑 原装电梯南北向 精装三房,金燕花苑 ,燕塘,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室1厅,95.24平米,南北,精装,中楼层(共26层),2002年,塔楼,3150000.0,33075
合适刚需上车，格局很方正实用，小区管理，安静舒适,百合苑B区 ,员村,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,2室1厅,45.79平米,东,简装,中楼层(共9层),1996年,塔楼,1380000.0,30138
阳光城星悦组团南向两房精装急出,阳光城丽景湾·星悦 ,进港大道,VR看装修 房本满两年 随时看房,1,一年前发布,2室1厅,74.8平米,南,精装,低楼层(共30层),,塔楼,920000.0,12300
房子满五唯一 中层通风采光好  地铁口200米中惠壁珑湾,中惠璧珑湾 ,南沙区府,近地铁 VR看装修 房本满五年,10,一年前发布,2室2厅,76.5平米,南,精装,低楼层(共31层),,板塔结合,1200000.0,15687
楼往位置 中层南向望花园 装修保养新净 拎包入住,万科天景花园 ,铁路西,近地铁 VR看装修 房本满两年,0,2个月以前发布,4室2厅,142.59平米,南北,精装,中楼层(共25层),2008年,塔楼,1750000.0,12273
广船鹤园小区 近地铁 新上好房 有电梯诚心卖 小区管理,广船鹤园小区 ,鹤洞,近地铁 VR看装修 房本满五年,11,一年前发布,2室1厅,57.87平米,南,简装,低楼层(共8层),1999年,塔楼,1290000.0,22292
时代南湾精装海景湖景3房 满五年 业主诚意放卖,时代南湾 ,南沙港,VR看装修 房本满五年 随时看房,4,一年前发布,3室2厅,92.84平米,东东北,精装,中楼层(共32层),2013年,板塔结合,1260000.0,13572
毛坯大三房 大阳台设计 户型方正 无抵押,颐和盛世 ,炭步,VR看装修 房本满五年,5,一年前发布,3室1厅,109.69平米,西南,毛坯,低楼层(共25层),2011年,塔楼,570000.0,5197
精装修一房一厅原装电梯       。,保利丰花园 ,洪德,近地铁 VR看装修 房本满五年,1,4个月以前发布,1室1厅,42.88平米,东,其他,中楼层(共32层),1997年,塔楼,1230000.0,28685
地铁口  雅居乐物业  带连廊,雅居乐小院流溪 ,赤草,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,116.53平米,西北,毛坯,中楼层(共18层),2015年,塔楼,950000.0,8153
原装电梯 装修保养新净 南北通风采光好,海外花园 ,昌岗,近地铁 VR看装修 房本满五年,3,1个月以前发布,1室1厅,56.66平米,南,精装,低楼层(共18层),2003年,塔楼,2030000.0,35828
华景雅苑，次新房，2016年建成的小区，此房是南北对流,华景雅苑德维轩 ,秀全街,VR看装修,0,2个月以前发布,3室2厅,117.3平米,南北,精装,高楼层(共15层),2016年,塔楼,1210000.0,10316
华景雅苑，次新房，2016年建成的小区，此房是南北对流,华景雅苑德维轩 ,秀全街,VR看装修,0,2个月以前发布,3室2厅,117.3平米,南北,精装,高楼层(共15层),2016年,塔楼,1210000.0,10316
精装修一房一厅原装电梯       。,保利丰花园 ,洪德,近地铁 VR看装修 房本满五年,1,4个月以前发布,1室1厅,42.88平米,东,其他,中楼层(共32层),1997年,塔楼,1230000.0,28685
中高楼层，通风采光好，大型小区配套完善，交通便利,尚东阳光 ,沙村,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,3室1厅,107.76平米,南,精装,中楼层(共30层),2016年,塔楼,1600000.0,14848
中层南向！户型方正实用！大阳台江景！,保利东江首府 ,新塘南,VR看装修 房本满五年,0,15,3室2厅,120.36平米,南北,精装,中楼层(共32层),2012年,塔楼,1820000.0,15122
近江边，大院管理，马赛克外墙。,滨江西路 ,滨江西,近地铁 VR看装修 房本满五年,0,22,2室1厅,71.88平米,东南,精装,高楼层(共9层),,塔楼,1980000.0,27546
体育西 封闭式大院 电梯小户型 15%首付好上车 采光好,南方电网宿舍 ,天河南,近地铁 VR看装修 房本满五年 随时看房,0,17,1室0厅,28.58平米,北,其他,中楼层(共8层),1995年,塔楼,1600000.0,55984
横厅户型 南北对流  东南向 Xi que户型,万科里享家 ,黄埔永和,VR看装修 房本满两年 随时看房,0,29,3室2厅,93.41平米,南,精装,中楼层(共34层),,塔楼,1500000.0,16059
东南向精装修三房，阳台看小区园林跟游泳池  居住舒,亚运城天峯1区 ,亚运城,VR看装修 房本满两年,0,31,3室2厅,103.81平米,东南南,精装,高楼层(共50层),,塔楼,2290000.0,22060
揽峰三房两卫，户型方正，中高楼层，视野开阔,花都颐和山庄 ,狮岭镇,VR看装修 房本满五年,3,10个月以前发布,3室2厅,107.89平米,南北,其他,高楼层(共18层),,塔楼,600000.0,5562
花都湖旁边新小区十年内电梯三房,富庄庭 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,2个月以前发布,3室1厅,95.78平米,南,精装,中楼层(共20层),2011年,塔楼,1330000.0,13886
悦城3房，过五，户型方正，楼层采光都不错,越秀滨海悦城 ,金洲,近地铁 VR房源 房本满五年 随时看房,2,31,3室1厅,117.13平米,南北,毛坯,高楼层(共31层),2013年,塔楼,2100000.0,17929
满五唯一无按揭小区环境好房子光线很好，急卖,华侨花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,8,8个月以前发布,3室2厅,109.25平米,南,精装,高楼层(共9层),,塔楼,998000.0,9136
房子正南向，过五唯一，小区环境优美，,豪进山湖珺璟 ,白江,VR看装修 房本满五年,9,一年前发布,3室2厅,94.79平米,南北,简装,中楼层(共33层),2013年,塔楼,1450000.0,15297
诚心出手、光线充足、产权清晰、没有欠款,万科城 ,科学城,近地铁 VR房源 房本满五年 随时看房,2,16,3室2厅,95.24平米,西南,精装,中楼层(共11层),,板塔结合,3100000.0,32550
科教城板块 保利中航城 复式南向三房两卫,保利中航城二期 ,朱村,近地铁 VR房源 房本满两年,1,一年前发布,3室2厅,96.28平米,南,其他,高楼层(共13层),2019年,板塔结合,1050000.0,10906
房子满五年 ，楼层好，视野宽阔，采光充足 地段好,美力花园 ,旧区,VR看装修 房本满五年 随时看房,1,24,3室2厅,101.56平米,南,其他,中楼层(共8层),2004年,塔楼,1150000.0,11324
省府旁省一级小北本bu+越秀公园天然氧吧+精装三房,应元路 ,小北,VR看装修 房本满五年 随时看房,3,9个月以前发布,3室2厅,76.03平米,东南,简装,低楼层(共6层),,板楼,3830000.0,50375
凤岗地铁，税费可谈，视野开阔无挡，楼层好，上车两房,西福蓝湾 ,朱村,近地铁 VR看装修 房本满五年 随时看房,38,一年前发布,2室2厅,70.44平米,北,毛坯,中楼层(共26层),2017年,板塔结合,670000.0,9512
C区湖边好房东南向保养好视野开阔,万科南方公元 ,黄阁,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室1厅,87.7平米,东南,其他,低楼层(共20层),,塔楼,1180000.0,13455
小区环境优美，高层南向看山景采光好，户型方正实用,富力伯爵山 ,南沙港,VR房源 房本满五年 随时看房,0,4个月以前发布,2室2厅,87.29平米,南,精装,高楼层(共11层),,塔楼,1050000.0,12029
海富花园二期安静 原装电梯 实用两房 准双地铁口200米,海富花园 ,江燕路,近地铁 VR房源 房本满五年,12,11个月以前发布,2室1厅,49.41平米,南,简装,中楼层(共10层),2006年,塔楼,2000000.0,40478
区府三地铁有轨电车一号线南北向三房一卫,新福港鼎峰 ,科学城,近地铁 VR看装修 房本满五年 随时看房,7,1个月以前发布,3室2厅,88.9平米,南北,精装,低楼层(共28层),,塔楼,3280000.0,36896
金泽华庭 9字头单家 大3房 望花园 急出！！,金泽华庭 ,新塘南,VR房源 房本满五年,0,3个月以前发布,3室1厅,134.43平米,南北,精装,中楼层(共32层),2009年,塔楼,1230000.0,9150
税局宿舍 江边200米 家门口是十号线地铁站 滨江东路站,怡乐路13号大院 ,滨江东,VR看装修 房本满五年,1,2个月以前发布,2室1厅,55.58平米,南,简装,低楼层(共9层),2002年,塔楼,1400000.0,25189
春鸿居，南向大两房，带平台，配套完善,春鸿居 ,元下田,近地铁 VR看装修 房本满五年 随时看房,1,11个月以前发布,2室1厅,59.98平米,南,精装,低楼层(共9层),1997年,塔楼,1050000.0,17506
楼往位置 中层南向望花园 装修保养新净 拎包入住,万科天景花园 ,铁路西,近地铁 VR看装修 房本满两年,0,2个月以前发布,4室2厅,142.59平米,南北,精装,中楼层(共25层),2008年,塔楼,1750000.0,12273
高层南向两房，对流户型，一手业主，满五唯一，保养好,富力环市西苑 ,西村,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,69.54平米,南,精装,高楼层(共15层),2000年,塔楼,2980000.0,42854
天马丽苑二期 3室2厅 东南,天马丽苑二期 ,铁路西,VR看装修 房本满两年 随时看房,0,3个月以前发布,3室2厅,123.32平米,东南,简装,低楼层(共34层),2007年,塔楼,1350000.0,10948
小高层 看流溪河 南北对流采光好,珠光流溪御景 ,赤草,VR房源 房本满五年 随时看房,5,9个月以前发布,3室2厅,95.94平米,东南西北,毛坯,6层,2010年,暂无数据,598000.0,6234
南北对流阳台南向望公园奥园广场配套齐,奥园广场 ,桥南,房本满五年 随时看房,0,5个月以前发布,2室1厅,110.39平米,南北,精装,低楼层(共26层),2010年,塔楼,830000.0,7519
正对别墅区三房  配套齐全 位于圆盘旁 位置安静宜居,时代城 ,铁路西,VR看装修 房本满五年 随时看房,0,一年前发布,3室1厅,113.17平米,南,精装,低楼层(共25层),2013年,塔楼,1560000.0,13785
区府市民广场 人民公园 雅居乐名门十八 4房3卫,雅居乐雍逸豪庭 ,新区,近地铁 VR房源 房本满五年,6,5个月以前发布,4室2厅,183.6平米,南,其他,中楼层(共18层),2009年,塔楼,2980000.0,16231
东风西范围 满五唯一 中层单位 安静近公园 低层邻医院,盘福路 ,盘福,近地铁 VR房源 房本满五年,1,2个月以前发布,2室1厅,52.27平米,南西,精装,中楼层(共9层),,塔楼,1800000.0,34437
福龙苑 1室1厅 西,福龙苑 ,粤垦,近地铁 VR看装修 房本满五年 随时看房,2,6个月以前发布,1室1厅,44.64平米,西,简装,低楼层(共9层),2000年,塔楼,1250000.0,28002
东南向中高层三房一卫，采光好视野宽阔，全新未入住,时代印记(广州) ,知识城,近地铁 VR看装修 随时看房,2,2个月以前发布,3室2厅,89.28平米,南,精装,高楼层(共26层),,塔楼,1350000.0,15121
楼层好，凤岗快线站，近地铁，户型方正,科慧花园 ,朱村,近地铁 VR看装修 房本满两年 随时看房,0,7个月以前发布,3室2厅,105.57平米,南,精装,高楼层(共32层),,塔楼,1360000.0,12883
顺欣花园，中高楼层，南向采光好,顺欣花园 ,新塘北,VR看装修 房本满五年 随时看房,1,3个月以前发布,3室1厅,110.15平米,南,精装,中楼层(共28层),,塔楼,1480000.0,13437
地理位置及为优越，有风云岭湿地公园、,托斯卡纳(从化区) ,新城片区,VR房源 房本满五年 随时看房,8,一年前发布,3室2厅,135.61平米,南,毛坯,中楼层(共6层),,板楼,1200000.0,8849
南北对流阳台南向望公园奥园广场配套齐,奥园广场 ,桥南,房本满五年 随时看房,0,5个月以前发布,2室1厅,110.39平米,南北,精装,低楼层(共26层),2010年,塔楼,830000.0,7519
此房产权清晰 精装修 通风采光好 三地铁交汇,新城国际 ,金碧,近地铁 房本满五年 随时看房,2,2个月以前发布,4室1厅,67.1平米,北,简装,中楼层(共22层),,塔楼,1450000.0,21610
视野开阔，无遮挡，采光通风好，,中海誉城北苑 ,香雪,VR看装修 房本满五年 随时看房,5,9个月以前发布,1室1厅,56.83平米,北东北,简装,中楼层(共21层),,塔楼,930000.0,16365
大型居住社区低总嫁 温馨两房 视野开阔 生活配套成熟,广园云苑新村 ,景泰,VR看装修 房本满五年 随时看房,3,3个月以前发布,2室1厅,42.9平米,南,精装,高楼层(共9层),,塔楼,880000.0,20513
福苑小区，双阳台，东南靓向，带主套 离地铁600米,南田路 ,同福,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,4室2厅,126.66平米,东南,简装,中楼层(共17层),,塔楼,3930000.0,31028
"电梯四房,中高层，视野开阔，南北对流，通风采光好。",时代柏林 ,桥南,VR房源 随时看房,2,2个月以前发布,4室2厅,127.37平米,南,精装,高楼层(共32层),,暂无数据,4400000.0,34546
离地铁口约300米 一线望江 高层 方正对流 采光通风好,锦绣半岛西区 ,南浦,VR看装修,6,一年前发布,5室2厅,282.77平米,东南西北,精装,中楼层(共26层),2009年,塔楼,5880000.0,20795
近地铁两房，通风好，采光足，户型方正，安静舒适,亚运城媒体村(南区) ,亚运城,近地铁 VR房源 房本满五年,1,9个月以前发布,2室2厅,91.76平米,东南南,精装,中楼层(共22层),2010年,塔楼,1980000.0,21579
祈福缤纷汇两房，通风采光好，近D铁，满五唯一,祈福缤纷汇 ,祈福新村,近地铁 VR看装修 房本满五年 随时看房,5,一年前发布,2室1厅,55.67平米,西,精装,33层,2017年,塔楼,1550000.0,27843
岭南南向望湖3房 单边位 中楼层 采光通风好  诚心卖,岭南新世界 ,嘉禾望岗,近地铁 VR房源 房本满五年 随时看房,9,一年前发布,3室2厅,116.95平米,南,精装,中楼层(共8层),2001年,塔楼,4300000.0,36768
中海康城 3室2厅 北,中海康城 ,黄村,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,114.84平米,北,精装,高楼层(共18层),2003年,塔楼,4200000.0,36573
北丽园 中楼层 装修好 满五年税费低,北丽园 ,市桥,近地铁 VR房源 房本满五年,3,一年前发布,2室1厅,53.81平米,南,简装,中楼层(共7层),1995年,板楼,960000.0,17841
银建小区 精致装修 加装电梯 视野开阔 采光充足,银建小区 ,周门,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,63.39平米,东北,精装,中楼层(共9层),1998年,塔楼,2330000.0,36757
南向3房过五年唯一省税 南向光线通风好 户型方正,祈福新村康怡居 ,祈福新村,VR房源 房本满五年,9,9个月以前发布,3室1厅,87.76平米,南,其他,高楼层(共6层),2002年,塔楼,1500000.0,17093
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),,塔楼,3900000.0,60862
倚莲半岛花园 户型方正 通风采光好 看房方便 急,倚莲半岛花园 ,莲花山,VR房源 房本满五年 随时看房,2,5个月以前发布,3室2厅,126.06平米,南,其他,低楼层(共16层),2014年,塔楼,1510000.0,11979
大院管理 原小北 加装电梯平层 实用率92% 全明布局,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,5个月以前发布,3室1厅,99.63平米,东南北,精装,高楼层(共9层),1993年,塔楼,6480000.0,65041
华侨乐园 南向安静 大三房 户型好 装修靓,华侨乐园 ,淘金,近地铁 VR看装修 房本满五年 随时看房,32,一年前发布,3室2厅,129平米,西南,精装,低楼层(共18层),1995年,塔楼,5300000.0,41086
风神花园原始3房，户型方正，南北对流,风神花园 ,铁路西,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,91.44平米,南北,简装,低楼层(共11层),,塔楼,780000.0,8531
中间楼层 看花园  可四房  随时可看房,海伦堡流金岁月 ,桥南,VR看装修 房本满五年 随时看房,0,4个月以前发布,3室2厅,114.5平米,西南,精装,中楼层(共28层),2009年,塔楼,3480000.0,30394
业主诚心出，地铁口，高速口，河堤，华润。,上城湾畔B区 ,江浦街,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,95.72平米,北,其他,中楼层(共17层),2009年,塔楼,1400000.0,14626
时代柏林 东南向四房 南北对流 精装修拎包即住,时代柏林 ,桥南,VR看装修 房本满五年,1,4个月以前发布,4室2厅,143.09平米,东南,精装,中楼层(共32层),,塔楼,5880000.0,41094
电子五所宿舍 3室2厅 南,电子五所宿舍 ,粤垦,VR看装修 房本满五年 随时看房,2,4个月以前发布,3室2厅,83.54平米,南,毛坯,高楼层(共6层),1998年,板楼,2990000.0,35792
满二唯一，精装修保养的很好，业主诚意卖,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,3,8个月以前发布,2室1厅,61.01平米,北,精装,中楼层(共15层),2000年,塔楼,2880000.0,47206
高层视野开阔   生活配套齐全 过五年唯一 税费少,自在城市花园四期诺德名筑 ,汉溪长隆,VR看装修 房本满五年,3,2个月以前发布,2室1厅,71.85平米,北,其他,11层,,板塔结合,1820000.0,25331
金碧花园  中楼层  安静望泳池,金碧花园第一金碧 ,金碧,近地铁 VR房源 房本满五年 随时看房,5,4个月以前发布,2室1厅,66.15平米,西北,其他,中楼层(共22层),2000年,塔楼,1800000.0,27211
白云家园 电梯南向1房 通风采光好。,白云家园 ,梅花园,近地铁 VR看装修 房本满两年,2,2个月以前发布,1室1厅,33.85平米,南,简装,6层,1997年,塔楼,1160000.0,34269
环市西路平层电梯 南北对流 通风采光好,环市西路 ,流花站前,近地铁 VR看装修 房本满两年,0,1个月以前发布,2室1厅,73.26平米,北,其他,低楼层(共9层),,塔楼,1700000.0,23206
地铁口醉笋次新小两房，楼层好格局正,新城市宜家 ,大石,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,2室1厅,68.73平米,南,精装,高楼层(共9层),,塔楼,2060000.0,29973
海力花园满五唯一税费少小区少有户型户型正一楼带院.,海力花园 ,进港大道,VR房源 房本满五年 随时看房,6,6个月以前发布,2室2厅,69.63平米,南北,其他,低楼层(共12层),2012年,塔楼,700000.0,10054
石牌桥地铁天河东路太古汇旁中楼层学不占用户型好,电视台小区 ,龙口西,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,70.57平米,西,简装,8层,,板楼,2800000.0,39677
白云区 盈富居一房改两房 有电梯 看房方便,盈富居 ,罗冲围,VR看装修 房本满五年,0,6个月以前发布,2室1厅,36.72平米,南,其他,9层,2000年,塔楼,880000.0,23966
精装三房、户型方正、保养新净、拎包入住,锦绣花园南区 ,钟村,VR看装修 房本满五年,6,2个月以前发布,3室2厅,80.2平米,南北,精装,中楼层(共7层),1997年,塔楼,1480000.0,18454
祈福辉煌台 户型格局方正 南向采光通风好,祈福辉煌台 ,铁路西,VR房源 房本满两年 随时看房,1,7个月以前发布,3室2厅,109.67平米,南西南,精装,中楼层(共29层),2009年,塔楼,1180000.0,10760
天河区刚需小三房，户型方正，框架结构，可用公积金,沙和路 ,沙河,近地铁 VR房源 房本满五年 随时看房,17,4个月以前发布,3室1厅,61.29平米,南,精装,中楼层(共8层),,塔楼,1160000.0,18927
建设二马路有位置加装电梯 一房一厅 户型方正南北对流,建设二马路 ,建设路,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,1室1厅,39.86平米,南北,简装,中楼层(共7层),,板楼,1300000.0,32615
文船生活区 低层三房 一梯两户 5号线地铁480米,文船生活区新东区 ,文冲,近地铁 VR房源 房本满两年,1,4个月以前发布,3室2厅,73.08平米,南,精装,低楼层(共9层),2002年,塔楼,1650000.0,22578
楼一层方便长辈出入，空气舒服值得购买,东方白云花园 ,市桥北,VR房源 房本满五年 随时看房,3,7个月以前发布,3室1厅,97.64平米,北,简装,低楼层(共6层),2005年,板楼,1750000.0,17923
私人平台140方，地铁口雅居乐物业，南北对流大三房,雅居乐雍华廷二期 ,新区,近地铁 VR房源 房本满五年 随时看房,1,2个月以前发布,3室2厅,140.73平米,南北,简装,低楼层(共12层),2002年,塔楼,2280000.0,16202
铂世湾 新装修3房 即买即住 中高楼层景观好 证过两年,珠江铂世湾 ,华南新城,近地铁 VR看装修 房本满两年 随时看房,0,24,3室2厅,96.22平米,北,精装,中楼层(共32层),2021年,塔楼,3750000.0,38974
房子东北偏东，能晒到太阳，满五唯一税费低，保养好,富力金港城东区 ,花东镇,VR房源 房本满五年 随时看房,0,9个月以前发布,3室2厅,93.85平米,东北,其他,高楼层(共18层),2011年,塔楼,1080000.0,11508
大润发旁 新塘CBD位置 好出租 高亚太富丽园,亚太新城富丽园 ,新塘北,近地铁 VR房源 房本满五年,24,6个月以前发布,1室1厅,51.83平米,南,精装,高楼层(共7层),2003年,塔楼,430000.0,8297
琶洲西板块上车无压力一房一厅急,聚宝阁 ,赤岗,近地铁 VR看装修 房本满五年,1,1个月以前发布,1室1厅,30.67平米,东西,简装,高楼层(共9层),1997年,塔楼,720000.0,23476
黄花岗 先烈中路 环市东路 电梯框架两房,环市东路 ,环市东,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,77.28平米,南,精装,中楼层(共9层),,塔楼,2900000.0,37526
双阳台地铁口三房  过五唯一  高区视野好  生活便利,越秀岭南山畔 ,科学城,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,3室2厅,135.05平米,南北,精装,高楼层(共32层),2014年,塔楼,4900000.0,36283
越秀区 电梯楼 户型好 安静通风光线好 交通便利,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,22,2室1厅,47.76平米,西南,简装,中楼层(共9层),,塔楼,1780000.0,37270
金山谷尚层大花园 南北对流 户型实用 装修保养好,金山谷尚层 ,金山谷,VR看装修 房本满五年 随时看房,0,25,3室2厅,130.02平米,南北,精装,中楼层(共32层),2015年,塔楼,4290000.0,32995
光大花园中海锦榕湾 3室2厅 北,光大花园中海锦榕湾 ,工业大道北,近地铁 VR看装修 房本满五年,3,1个月以前发布,3室2厅,108.81平米,北,其他,中楼层(共33层),2010年,塔楼,6780000.0,62311
香雪中海誉城北苑大两房 中高楼层视野开阔 保养好,中海誉城北苑 ,香雪,VR房源 房本满五年,0,1个月以前发布,2室1厅,87.7平米,北南,精装,高楼层(共33层),2012年,塔楼,1680000.0,19157
协和，楼龄新，环境安静，可公积金贷款，大两房大阳台,西湾苑 ,西村,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,66.57平米,东南,精装,高楼层(共9层),1980年,塔楼,1280000.0,19228
南沙奥园  业主诚心放卖满五唯一随时看房,南沙奥园 ,南沙湾,近地铁 VR看装修 房本满五年 随时看房,4,1个月以前发布,3室2厅,139.2平米,南北,精装,低楼层(共9层),2012年,塔楼,1380000.0,9914
900米地铁口，次新楼。拎包入住,时代城 ,铁路西,VR看装修 房本满五年 随时看房,0,3个月以前发布,3室1厅,89.51平米,东南,精装,低楼层(共30层),2010年,塔楼,1280000.0,14301
近地铁，高楼层全新未住，业主急卖,中新紫荆府 ,中新镇,近地铁 VR看装修 随时看房,1,2个月以前发布,2室1厅,74.53平米,东南,其他,高楼层(共32层),板塔结合,,660000.0,8856
金泽华庭，中层，过五唯一，格层方下，三房两厅,金泽华庭 ,新塘南,VR看装修 房本满五年,0,4个月以前发布,3室2厅,131.47平米,南北,简装,中楼层(共32层),塔楼,2009年,1350000.0,10269
北丽园 中楼层 装修好 满五年税费低,北丽园 ,市桥,近地铁 VR房源 房本满五年,3,一年前发布,2室1厅,53.81平米,南,简装,中楼层(共7层),板楼,1995年,960000.0,17841
中海康城 3室2厅 北,中海康城 ,黄村,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,114.84平米,北,精装,高楼层(共18层),塔楼,2003年,4200000.0,36573
岭南南向望湖3房 单边位 中楼层 采光通风好  诚心卖,岭南新世界 ,嘉禾望岗,近地铁 VR房源 房本满五年 随时看房,9,一年前发布,3室2厅,116.95平米,南,精装,中楼层(共8层),塔楼,2001年,4300000.0,36768
港式电梯房 南向 花都湖景观 主城区景观 一眼看穿,湖畔花园 ,旧区,VR看装修 房本满五年,1,8个月以前发布,3室2厅,83.61平米,西南,简装,高楼层(共26层),塔楼,1995年,790000.0,9449
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),塔楼,,3900000.0,60862
银建小区 精致装修 加装电梯 视野开阔 采光充足,银建小区 ,周门,近地铁 VR看装修 房本满五年,2,3个月以前发布,2室1厅,63.39平米,东北,精装,中楼层(共9层),塔楼,1998年,2330000.0,36757
南向3房过五年唯一省税 南向光线通风好 户型方正,祈福新村康怡居 ,祈福新村,VR房源 房本满五年,9,9个月以前发布,3室1厅,87.76平米,南,其他,高楼层(共6层),塔楼,2002年,1500000.0,17093
倚莲半岛花园 户型方正 通风采光好 看房方便 急,倚莲半岛花园 ,莲花山,VR房源 房本满五年 随时看房,2,5个月以前发布,3室2厅,126.06平米,南,其他,低楼层(共16层),塔楼,2014年,1510000.0,11979
户型房子，小区环境优美，省税费，看房方便,华景新城泽晖苑 ,华景新城,VR房源 房本满五年 随时看房,1,1个月以前发布,2室1厅,67.27平米,西南,精装,高楼层(共9层),塔楼,1999年,3300000.0,49057
公园前9号小区 3室2厅 南,公园前9号小区 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,30,3室2厅,82.21平米,南,其他,高楼层(共8层),板楼,1994年,499000.0,6070
楼龄新，电梯房4房，南北对流，满五年,星誉花园 ,市桥北,VR看装修 房本满五年,0,14,4室2厅,137.83平米,南北,简装,低楼层(共21层),塔楼,2016年,3500000.0,25394
刚需三房采光好视野充足业主诚心出楼层好,珠江嘉园 ,黄埔永和,VR看装修 房本满五年,0,14,3室2厅,91.09平米,南北,其他,中楼层(共32层),塔楼,2015年,1030000.0,11308
中间楼层，南北对流，业主诚意出，满五不唯一,富丽家园乳芳园 ,大石,VR房源 房本满两年,7,一年前发布,1室1厅,59.2平米,南北,简装,中楼层(共8层),塔楼,1995年,850000.0,14359
景观很漂亮，看森林公园的山景，户型方正,恒大山水城 ,中新镇,VR房源 房本满五年 随时看房,3,一年前发布,2室1厅,74.98平米,西北,精装,高楼层(共18层),板塔结合,2008年,690000.0,9203
中房观湖国际 可以直接进花都湖的小区 全新装修未入住,中房观湖国际 ,旧区,VR房源 房本满五年 随时看房,1,7,4室3厅,212.65平米,南北,精装,低楼层(共28层),塔楼,2008年,2700000.0,12697
地铁口醉笋次新小两房，楼层好格局正,新城市宜家 ,大石,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,2室1厅,68.73平米,南,精装,高楼层(共9层),塔楼,,2060000.0,29973
