标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
东南北向。光线充足。珠江靓景尽显魅力,海印大厦 ,东湖,近地铁 VR看装修 随时看房,2,2个月以前发布,3室2厅,86.01平米,东南北,精装,低楼层(共29层),2001年,塔楼,4580000.0,53250
水荫直街南向两房 户型方正 实用率高,水荫直街 ,水荫,近地铁 VR看装修 房本满两年 随时看房,0,1个月以前发布,2室1厅,52.17平米,南,简装,中楼层(共8层),1990年,塔楼,1800000.0,34503
东山培正 新河浦路 加装电梯 楼龄新 近东湖公园,新河浦路 ,东山口,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室1厅,73.13平米,东北,简装,中楼层(共9层),,塔楼,4280000.0,58526
水荫路 电梯南向两房 满五 业主有心卖,水荫路 ,水荫,近地铁 VR房源 房本满五年 随时看房,0,1个月以前发布,2室1厅,47.6平米,南,简装,中楼层(共8层),1986年,塔楼,1880000.0,39496
区庄村准电梯有地铁 框架结构方正实用三房,区庄村 ,黄花岗,近地铁 VR看装修 房本满五年 随时看房,3,10个月以前发布,3室2厅,81.22平米,南北,精装,高楼层(共9层),1990年,塔楼,3400000.0,41862
共和铁一地铁口大院管理安静电梯3房 框架,共和路 ,杨箕,近地铁 VR看装修 房本满五年,101,一年前发布,3室1厅,77.5平米,南北,简装,高楼层(共9层),1992年,塔楼,4790000.0,61807
水荫路南向正规两居室近东风公园水荫路电梯,水荫路 ,水荫,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室1厅,63.35平米,南,简装,高楼层(共8层),1989年,塔楼,3000000.0,47356
华侨新村 安静位置  近华侨 不占用,华侨新村 ,淘金,近地铁 VR看装修 房本满五年 随时看房,1,17,1室0厅,25.17平米,西北,简装,低楼层(共7层),2000年,塔楼,980000.0,38936
育才房子，出租方便，业主急卖！,东风东路 ,环市东,近地铁 VR房源 房本满五年,2,2个月以前发布,1室1厅,31.99平米,南,简装,中楼层(共6层),,板楼,1490000.0,46578
大三房，一梯两户，实用率高，采光好,麓苑路 ,淘金,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,96.57平米,南,精装,中楼层(共6层),,板楼,3400000.0,35208
农讲所上车实用两房精装修 南北对流,德政中路 ,越秀南,VR看装修 房本满五年,2,16,2室1厅,43.5平米,南北,精装,高楼层(共6层),,板楼,1480000.0,34023
铁一 加装电梯小面积南北对流框架结构,共和路 ,杨箕,近地铁 VR看装修 房本满五年,3,1个月以前发布,1室1厅,33.67平米,南北,精装,高楼层(共6层),,塔楼,2280000.0,67717
省级登峰 满五唯一 马赛克外墙 南北对流 近麓湖雕塑,下塘西路 ,麓景,VR看装修 房本满五年,5,1个月以前发布,2室2厅,70.88平米,南,精装,高楼层(共8层),,塔楼,1590000.0,22433
东湖新村，小区管理，通风采光好，有K即看,东湖新村 ,东湖,近地铁 VR看装修 房本满五年 随时看房,0,15,3室2厅,71平米,东西,精装,高楼层(共7层),1986年,塔楼,3060000.0,43099
六号线黄花岗，永福西约，框架结构，正规大三房,永福路永福西约 ,黄花岗,近地铁 VR房源 房本满两年,7,一年前发布,3室1厅,82.3平米,东南,简装,中楼层(共9层),1995年,塔楼,2280000.0,27704
永福路永福西约 1室1厅 东 东南,永福路永福西约 ,黄花岗,近地铁 VR看装修 房本满五年 随时看房,9,一年前发布,1室1厅,44.37平米,东东南,简装,中楼层(共8层),1995年,塔楼,1380000.0,31103
东风东路 2室1厅 东南,东风东路 ,环市东,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,2室1厅,53.19平米,东南,其他,高楼层(共8层),1980年,塔楼,2000000.0,37602
东华东 电梯三房 一梯两户 南北对流 装修新净,东华东路 ,东川路,近地铁 VR看装修 房本满五年,1,17,3室1厅,77.8平米,南北,精装,中楼层(共9层),,塔楼,3680000.0,47301
越瑞大厦电梯全明3房带阳台户型方正31000/平,越瑞大厦 ,人民路,VR看装修 房本满五年,1,1个月以前发布,3室1厅,85.63平米,西南,简装,高楼层(共18层),2000年,塔楼,2670000.0,31181
省级 东川小 精装两房，满五唯一 ，产权清晰,东川路 ,东川路,近地铁 VR看装修 房本满五年,7,一年前发布,2室1厅,57.68平米,南,精装,中楼层(共8层),1999年,塔楼,2250000.0,39009
东山口 执信南  南向 大院管理 低层 三房,竹丝岗二马路 ,东风东,VR看装修 房本满五年,1,1个月以前发布,3室1厅,76.88平米,南北,简装,中楼层(共4层),1980年,板楼,2200000.0,28617
省级东风西 户型方正 通风采光好,盘福路 ,盘福,VR看装修 房本满五年,5,3个月以前发布,2室1厅,52.47平米,南,其他,低楼层(共7层),,暂无数据,1900000.0,36212
省级登峰 满五唯一 马赛克外墙 南北对流 近麓湖雕塑,下塘西路 ,麓景,VR看装修 房本满五年,5,1个月以前发布,2室2厅,70.88平米,南,精装,高楼层(共8层),塔楼,,1590000.0,22433
东风东路 2室1厅 东南,东风东路 ,环市东,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,2室1厅,53.19平米,东南,其他,高楼层(共8层),塔楼,1980年,2000000.0,37602
六号线黄花岗，永福西约，框架结构，正规大三房,永福路永福西约 ,黄花岗,近地铁 VR房源 房本满两年,7,一年前发布,3室1厅,82.3平米,东南,简装,中楼层(共9层),塔楼,1995年,2280000.0,27704
铁一 加装电梯小面积南北对流框架结构,共和路 ,杨箕,近地铁 VR看装修 房本满五年,3,1个月以前发布,1室1厅,33.67平米,南北,精装,高楼层(共6层),塔楼,,2280000.0,67717
东山培正 新河浦路 加装电梯 楼龄新 近东湖公园,新河浦路 ,东山口,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室1厅,73.13平米,东北,简装,中楼层(共9层),塔楼,,4280000.0,58526
东湖新村，小区管理，通风采光好，有K即看,东湖新村 ,东湖,近地铁 VR看装修 房本满五年 随时看房,0,15,3室2厅,71平米,东西,精装,高楼层(共7层),塔楼,1986年,3060000.0,43099
东南北向。光线充足。珠江靓景尽显魅力,海印大厦 ,东湖,近地铁 VR看装修 随时看房,2,2个月以前发布,3室2厅,86.01平米,东南北,精装,低楼层(共29层),塔楼,2001年,4580000.0,53250
大三房，一梯两户，实用率高，采光好,麓苑路 ,淘金,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,96.57平米,南,精装,中楼层(共6层),板楼,,3400000.0,35208
永福路永福西约 1室1厅 东 东南,永福路永福西约 ,黄花岗,近地铁 VR看装修 房本满五年 随时看房,9,一年前发布,1室1厅,44.37平米,东东南,简装,中楼层(共8层),塔楼,1995年,1380000.0,31103
共和铁一地铁口大院管理安静电梯3房 框架,共和路 ,杨箕,近地铁 VR看装修 房本满五年,101,一年前发布,3室1厅,77.5平米,南北,简装,高楼层(共9层),塔楼,1992年,4790000.0,61807
区庄村准电梯有地铁 框架结构方正实用三房,区庄村 ,黄花岗,近地铁 VR看装修 房本满五年 随时看房,3,10个月以前发布,3室2厅,81.22平米,南北,精装,高楼层(共9层),塔楼,1990年,3400000.0,41862
华侨新村 安静位置  近华侨 不占用,华侨新村 ,淘金,近地铁 VR看装修 房本满五年 随时看房,1,17,1室0厅,25.17平米,西北,简装,低楼层(共7层),塔楼,2000年,980000.0,38936
培正南向电梯大三房 带主套 通风采光好 户型方正,联发名阁 ,东湖,近地铁 VR看装修 房本满五年 随时看房,5,一年前发布,3室2厅,124.8平米,西南,简装,中楼层(共20层),塔楼,2001年,7900000.0,63302
两房南北对流，公园地铁就在家门口。,恒福路11号大院 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,2室1厅,64.33平米,南北,简装,中楼层(共5层),塔楼,1985年,1650000.0,25649
加装电梯  高楼层 南北向 大两房 本部,法政路 ,小北,近地铁 VR看装修 房本满五年,4,一年前发布,2室2厅,79.7平米,南北,其他,高楼层(共8层),塔楼,,5200000.0,65245
业主精装自住，环境很好 楼梯5楼，两房烈士陵园地铁站,中山三路 ,东川路,VR房源 房本满五年,3,8个月以前发布,2室1厅,48.11平米,北,精装,中楼层(共9层),塔楼,,1300000.0,27022
精致小三房，不需爬楼二楼单位，满五唯 一,达道路 ,东山口,近地铁 VR看装修 房本满五年,1,7个月以前发布,3室1厅,52.27平米,东东南,其他,低楼层(共6层),板楼,,2980000.0,57012
东风西2房框架，准备加装电梯平层，次顶层光线视野好,盘福路 ,盘福,VR房源 房本满五年 随时看房,0,一年前发布,2室1厅,37.65平米,西北,简装,高楼层(共8层),塔楼,,1450000.0,38513
大院管理 近江边加装电梯四房南北对流,省政协宿舍 ,五羊新城,VR看装修 房本满五年,12,8个月以前发布,4室2厅,129.83平米,南北,精装,中楼层(共8层),塔楼,1989年,7200000.0,55458
意达大厦，电梯，条形砖外墙，楼龄新，有物业有安保,东川路 ,东川路,近地铁 VR房源 房本满五年,5,一年前发布,2室1厅,76.61平米,东南,简装,中楼层(共9层),暂无数据,2000年,2500000.0,32633
富宏花园 3室1厅 东北,富宏花园 ,小北,VR看装修 房本满五年,1,2个月以前发布,3室1厅,117.29平米,东北,简装,中楼层(共22层),塔楼,1997年,6600000.0,56271
马赛克外墙 电梯中层 楼龄新 采光通风 安静舒适,文明路 ,农讲所,近地铁 VR看装修 房本满两年,1,2个月以前发布,2室1厅,55.28平米,南,简装,中楼层(共9层),塔楼,,2380000.0,43054
共和苑小区，南北向框架结构，看房方便，诚意,共和苑 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,1,12,2室1厅,57.86平米,南,简装,中楼层(共7层),塔楼,1992年,2480000.0,42863
东山口 执信南  南向 大院管理 低层 三房,竹丝岗二马路 ,东风东,VR看装修 房本满五年,1,1个月以前发布,3室1厅,76.88平米,南北,简装,中楼层(共4层),板楼,1980年,2200000.0,28617
培正电梯两房 小区管理 户型方正 格局好,海印苑 ,东湖,近地铁 VR看装修 房本满五年,2,20,2室1厅,68.83平米,南,精装,中楼层(共9层),塔楼,1996年,4100000.0,59568
云鹤北街框架结构两房 带平台业主诚心放看房方便,环市东路 ,环市东,VR看装修 房本满两年,0,一年前发布,2室2厅,45.93平米,南,简装,低楼层(共7层),塔楼,1990年,1500000.0,32659
大东门华庭南向电梯房楼龄新配套成熟精装修省实旁,大东门华庭 ,农讲所,近地铁 VR看装修 房本满两年,1,1个月以前发布,3室1厅,61.83平米,南,精装,低楼层(共31层),塔楼,,3200000.0,51755
机务段刚需两房户型方正居住环境舒适,广州机务段 ,三元里,VR看装修 房本满五年,11,一年前发布,2室1厅,48.18平米,东南,简装,中楼层(共7层),暂无数据,,880000.0,18265
公园前商圈，低楼层，小户型两房，交通便利,解放中路 ,公园前,近地铁 VR房源 房本满五年 随时看房,15,3个月以前发布,2室1厅,42.25平米,东,其他,低楼层(共9层),塔楼,,950000.0,22486
电梯三房 采光通风好 楼距宽 舒适宜居 证过五年唯一,水荫直街 ,水荫,VR看装修 随时看房,2,11,3室1厅,87.47平米,西北,简装,高楼层(共9层),塔楼,1990年,4100000.0,46874
平层电梯入户 采光充足， 精装修两房,水荫直街 ,水荫,近地铁 VR看装修 房本满五年,3,4个月以前发布,2室1厅,61.87平米,北,其他,中楼层(共9层),1990年,塔楼,2560000.0,41378
低楼层小面积入户口不二选择9层3楼,大德路 ,解放南,近地铁 VR看装修 房本满五年,2,8个月以前发布,1室1厅,37.27平米,东西,毛坯,低楼层(共9层),,塔楼,730000.0,19587
羊和园 高层两房 户型实用 铁一 近地铁杨箕站,羊和园 ,杨箕,近地铁 VR看装修 房本满五年,11,一年前发布,2室2厅,71.75平米,北,精装,中楼层(共29层),1997年,塔楼,4480000.0,62440
海珠中路  加装电梯  方正三房  有钥匙随时可以看,海珠中路 ,解放南,VR看装修 随时看房,0,16,3室2厅,49.16平米,南北,其他,中楼层(共9层),,塔楼,1680000.0,34175
东山口 近中山医 省医 电梯三房 采光好 东南向,菜园西 ,东川路,VR看装修 房本满五年 随时看房,5,1个月以前发布,3室2厅,74.57平米,东南,简装,高楼层(共7层),,塔楼,3150000.0,42243
五羊模范小区安静  加装有电梯平层入户 近地铁口,五羊小区 ,五羊新城,近地铁 VR看装修 房本满五年,2,一年前发布,2室1厅,58.15平米,北,简装,低楼层(共8层),,塔楼,2880000.0,49528
云鹤南街精装修三房 采光通风安静不吵 全明房过五年,环市东路 ,环市东,VR看装修 房本满五年,12,一年前发布,3室2厅,73.12平米,东南,精装,低楼层(共9层),1996年,塔楼,2960000.0,40482
东风广场三房带主套高楼层视野开阔无遮挡,东风广场 ,东风东,近地铁 VR看装修,1,22,3室1厅,97.23平米,东南,简装,中楼层(共35层),1998年,板塔结合,7580000.0,77960
大院管理 中层实用户型 一手业主 看房方便,东兴南小区 ,五羊新城,近地铁 VR房源 房本满五年 随时看房,0,11,2室2厅,64.7平米,南,简装,低楼层(共9层),,塔楼,2600000.0,40186
水荫直街 住家装修 双阳台实用 户型方正两房,水荫直街 ,水荫,近地铁 VR看装修 房本满两年,1,28,2室1厅,56.11平米,北,精装,低楼层(共9层),1992年,塔楼,2180000.0,38853
近麓湖公园和地铁  楼龄新 户型方正 南向4房 采光好,麓湖轩 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,9个月以前发布,4室2厅,112.39平米,南,简装,中楼层(共30层),,塔楼,6800000.0,60504
此房满五 加装电梯 视野宽阔 配套齐全,五羊小区 ,五羊新城,VR看装修 房本满五年,0,1个月以前发布,2室1厅,50.34平米,南,其他,高楼层(共9层),1986年,塔楼,2380000.0,47279
低总jia南北向两房，安静舒适，看房方便,中山一路 ,东风东,近地铁 VR房源 房本满两年,4,9个月以前发布,2室1厅,64.01平米,南,简装,低楼层(共8层),,塔楼,2660000.0,41557
淘金家园C区南向四房 证过五唯一 方正实用,淘金家园峯璟 ,淘金,近地铁 VR看装修 房本满五年,0,20,4室1厅,129.14平米,南,精装,中楼层(共30层),2013年,塔楼,10390000.0,80456
珠江新城旁，独立小区，实用两房，南向安静，采光充足,东方花苑 ,杨箕,近地铁 VR房源 随时看房,2,25,2室1厅,78.51平米,南,简装,低楼层(共9层),1999年,塔楼,2800000.0,35665
南北对流 双阳台 靓户型两房，通风采光好 八一,达道路 ,东山口,近地铁 VR房源 房本满两年,11,3个月以前发布,2室1厅,61.56平米,南北,精装,中楼层(共8层),,板楼,2380000.0,38662
省级东川 低层一房 无占用 近地铁,东川路 ,东川路,近地铁 VR看装修 随时看房,1,7个月以前发布,1室1厅,32.29平米,南北,简装,低楼层(共8层),,塔楼,1430000.0,44287
越秀区，全明格局，南北对流户型，框架结构，实用率高,铁路大院 ,三元里,近地铁 VR看装修 房本满五年,1,8个月以前发布,2室1厅,59.39平米,东,精装,中楼层(共8层),,暂无数据,1380000.0,23237
电梯正规一房一厅 步行小北地铁A口200米 楼新可公积金,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,3,4个月以前发布,1室1厅,35.84平米,东,精装,高楼层(共8层),,塔楼,1500000.0,41853
麓景东路精装电梯大三房东南向格局好无遮挡,麓景东路 ,麓景,近地铁 VR看装修 房本满五年,2,8个月以前发布,3室2厅,72.35平米,东南,简装,高楼层(共8层),,塔楼,2280000.0,31514
淘金路电梯    实用3房    配套完善,淘金路 ,淘金,VR看装修 房本满五年 随时看房,1,6个月以前发布,3室2厅,99.79平米,东南,简装,低楼层(共9层),1997年,塔楼,5750000.0,57622
竹丝岗二马路 4室1厅 东南,竹丝岗二马路 ,东风东,VR看装修 房本满五年,1,1个月以前发布,4室1厅,131.81平米,东南,简装,中楼层(共6层),1990年,板楼,4800000.0,36417
低层  朝西南向 采光通风好 阳台朝南向,盘福路 ,盘福,VR看装修 房本满五年 随时看房,0,2个月以前发布,1室1厅,45.05平米,南,其他,低楼层(共9层),,塔楼,1700000.0,37736
五羊 幸福小区 南向两房 户型正,幸福小区 ,五羊新城,VR看装修 房本满五年,1,30,2室1厅,73.04平米,南,简装,低楼层(共9层),1992年,塔楼,2900000.0,39705
黄田小区 低层实用两房 南向单位 望花园 双地铁沿线,黄田小区 ,麓景,近地铁 VR房源 房本满五年,1,21,2室1厅,74.59平米,南,简装,低楼层(共9层),1988年,塔楼,2460000.0,32981
建设二马路东八街电梯平层框架结构有钥匙即看,建设二马路 ,建设路,近地铁 VR看装修 房本满五年 随时看房,1,9个月以前发布,1室0厅,20.97平米,南,精装,中楼层(共9层),1990年,塔楼,790000.0,37673
04年地铁口物业 小区管理，安静开阔 精装修实用三房,云鹤园 ,环市东,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室1厅,94.49平米,西南,其他,低楼层(共32层),2004年,塔楼,4980000.0,52704
淘金街小区管理  华侨 准电梯，户型方正,淘金路 ,淘金,VR房源 房本满五年 随时看房,1,一年前发布,2室2厅,72.03平米,东南,简装,高楼层(共9层),1996年,塔楼,2680000.0,37207
西门口地铁站旁 精致装修 视野开阔 有位置加装电梯,海珠北路 ,西门口,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,42.87平米,东西,精装,高楼层(共9层),1988年,塔楼,1500000.0,34990
此房满五唯一 无抵押按揭 产权清晰 出门双地铁,永福路永福西约 ,黄花岗,近地铁 VR看装修 随时看房,1,5个月以前发布,3室1厅,64.63平米,南,简装,低楼层(共7层),,塔楼,1680000.0,25995
农林上路 地铁口  东风东小南向三房 南北对流,农林上路 ,东山口,近地铁 VR看装修 房本满五年,0,2个月以前发布,3室2厅,89.7平米,南,简装,中楼层(共9层),板楼,,6000000.0,66890
珠江新城旁，独立小区，实用两房，南向安静，采光充足,东方花苑 ,杨箕,近地铁 VR房源 随时看房,2,25,2室1厅,78.51平米,南,简装,低楼层(共9层),塔楼,1999年,2800000.0,35665
惠福西路 加装电梯走半层 精装三房厅出阳台,惠福西路 ,西门口,近地铁 VR看装修 房本满五年,2,4个月以前发布,3室1厅,72.98平米,东南,精装,中楼层(共9层),塔楼,1995年,2400000.0,32886
5号线小北站+电梯小区环境好+天然氧吧,金麓山庄 ,麓景,VR看装修 房本满五年 随时看房,7,一年前发布,1室1厅,37.14平米,东,简装,低楼层(共9层),塔楼,2005年,980000.0,26387
嘉诚国际公寓 东向两房 水荫路 shu bao,嘉诚国际公寓 ,水荫,VR看装修 房本满五年,3,3个月以前发布,2室1厅,58.99平米,南,其他,中楼层(共29层),塔楼,2007年,2300000.0,38990
西门口地铁站旁 精致装修 视野开阔 有位置加装电梯,海珠北路 ,西门口,近地铁 VR看装修 房本满五年 随时看房,2,4个月以前发布,2室1厅,42.87平米,东西,精装,高楼层(共9层),塔楼,1988年,1500000.0,34990
大东门华庭南向电梯房楼龄新配套成熟精装修省实旁,大东门华庭 ,农讲所,近地铁 VR看装修 房本满两年,1,1个月以前发布,3室1厅,61.83平米,南,精装,低楼层(共31层),塔楼,,3200000.0,51755
机务段刚需两房户型方正居住环境舒适,广州机务段 ,三元里,VR看装修 房本满五年,11,一年前发布,2室1厅,48.18平米,东南,简装,中楼层(共7层),暂无数据,,880000.0,18265
原装电梯，东南向，户型方正，采光通风好,筑北商住楼 ,东川路,近地铁 VR房源 房本满五年,2,2个月以前发布,2室1厅,75.3平米,东南,简装,中楼层(共23层),塔楼,,3280000.0,43560
三育路小区 准电梯 视野开阔 无遮挡 通风采光好 框架,三育路 ,东山口,VR看装修 房本满五年,0,15,3室2厅,92.95平米,南北,简装,中楼层(共8层),板楼,,3980000.0,42819
大院管理，南北西向单边位3房，产权清晰，使用率高,福今路 ,东山口,VR房源 房本满五年,7,3个月以前发布,3室2厅,86.1平米,南,简装,中楼层(共9层),塔楼,,3950000.0,45877
西门口惠福西3房2厅精装修框架 有天台  满5唯一,惠福西路 ,西门口,近地铁 VR房源 房本满五年 随时看房,4,2个月以前发布,3室1厅,81.09平米,南,精装,高楼层(共5层),板楼,,2590000.0,31940
五羊模范小区安静  加装有电梯平层入户 近地铁口,五羊小区 ,五羊新城,近地铁 VR看装修 房本满五年,2,一年前发布,2室1厅,58.15平米,北,简装,低楼层(共8层),塔楼,,2880000.0,49528
云鹤南街精装修三房 采光通风安静不吵 全明房过五年,环市东路 ,环市东,VR看装修 房本满五年,12,一年前发布,3室2厅,73.12平米,东南,精装,低楼层(共9层),塔楼,1996年,2960000.0,40482
云鹤北街框架结构两房 带平台业主诚心放看房方便,环市东路 ,环市东,VR看装修 房本满两年,0,一年前发布,2室2厅,45.93平米,南,简装,低楼层(共7层),塔楼,1990年,1500000.0,32659
公园前商圈，低楼层，小户型两房，交通便利,解放中路 ,公园前,近地铁 VR房源 房本满五年 随时看房,15,3个月以前发布,2室1厅,42.25平米,东,其他,低楼层(共9层),塔楼,,950000.0,22486
水荫直街 住家装修 双阳台实用 户型方正两房,水荫直街 ,水荫,近地铁 VR看装修 房本满两年,1,28,2室1厅,56.11平米,北,精装,低楼层(共9层),塔楼,1992年,2180000.0,38853
共和苑小区，南北向框架结构，看房方便，诚意,共和苑 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,1,12,2室1厅,57.86平米,南,简装,中楼层(共7层),塔楼,1992年,2480000.0,42863
培正电梯两房 小区管理 户型方正 格局好,海印苑 ,东湖,近地铁 VR看装修 房本满五年,2,20,2室1厅,68.83平米,南,精装,中楼层(共9层),塔楼,1996年,4100000.0,59568
红胜街大院少有房源+格局方正+保养新净+业主诚意卖,越秀北路 ,小北,近地铁 VR房源 房本满五年 随时看房,3,9个月以前发布,3室1厅,46.24平米,南,精装,低楼层(共8层),塔楼,,1880000.0,40658
法院宿舍房改房，三眼井小区里 精装修 紧贴越秀公园,小北路 ,小北,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,56.65平米,南,简装,中楼层(共6层),暂无数据,,2800000.0,49427
西门口地铁  电梯中层  东西通透户型可三房,海珠北路 ,西门口,近地铁 VR看装修 房本满五年,2,7个月以前发布,2室1厅,94.62平米,东西,精装,中楼层(共8层),塔楼,,2850000.0,30121
东川路原装电梯，有小区管理，采光通风好，近东川小。,东川大厦 ,东川路,近地铁 VR看装修 房本满两年,1,2个月以前发布,2室1厅,48.53平米,北,精装,中楼层(共15层),塔楼,2003年,2680000.0,55224
黄田小区 低层实用两房 南向单位 望花园 双地铁沿线,黄田小区 ,麓景,近地铁 VR房源 房本满五年,1,21,2室1厅,74.59平米,南,简装,低楼层(共9层),塔楼,1988年,2460000.0,32981
大院管理 中层实用户型 一手业主 看房方便,东兴南小区 ,五羊新城,近地铁 VR房源 房本满五年 随时看房,0,11,2室2厅,64.7平米,南,简装,低楼层(共9层),塔楼,,2600000.0,40186
羊和园 高层两房 户型实用 铁一 近地铁杨箕站,羊和园 ,杨箕,近地铁 VR看装修 房本满五年,11,一年前发布,2室2厅,71.75平米,北,精装,中楼层(共29层),塔楼,1997年,4480000.0,62440
满五低总费 东风西范围 南北方向 无遮采光 户型方正,盘福路 ,盘福,近地铁 VR看装修 房本满五年 随时看房,1,5个月以前发布,2室1厅,54.02平米,南北,精装,高楼层(共6层),板楼,1979年,1950000.0,36098
此房满五 加装电梯 视野宽阔 配套齐全,五羊小区 ,五羊新城,VR看装修 房本满五年,0,1个月以前发布,2室1厅,50.34平米,南,其他,高楼层(共9层),塔楼,1986年,2380000.0,47279
平层电梯入户 采光充足， 精装修两房,水荫直街 ,水荫,近地铁 VR看装修 房本满五年,3,4个月以前发布,2室1厅,61.87平米,北,其他,中楼层(共9层),塔楼,1990年,2560000.0,41378
低楼层小面积入户口不二选择9层3楼,大德路 ,解放南,近地铁 VR看装修 房本满五年,2,8个月以前发布,1室1厅,37.27平米,东西,毛坯,低楼层(共9层),塔楼,,730000.0,19587
法院宿舍房改房，三眼井小区里 精装修 紧贴越秀公园,小北路 ,小北,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,56.65平米,南,简装,中楼层(共6层),暂无数据,,2800000.0,49427
红胜街大院少有房源+格局方正+保养新净+业主诚意卖,越秀北路 ,小北,近地铁 VR房源 房本满五年 随时看房,3,9个月以前发布,3室1厅,46.24平米,南,精装,低楼层(共8层),塔楼,,1880000.0,40658
原小北 楼龄新 电梯 东向采光好 业主诚心 下楼公园,小北大厦 ,小北,近地铁 VR看装修 房本满两年 随时看房,4,1个月以前发布,4室1厅,95.74平米,南,精装,中楼层(共16层),塔楼,,4400000.0,45958
惠福西路 省级旧勏前 低楼层 精装两房 拎包入住,惠福西路 ,西门口,VR房源 房本满五年 随时看房,6,4个月以前发布,2室1厅,47.07平米,北,精装,中楼层(共6层),板楼,,1320000.0,28044
原小北  带大平台 南向全明两房,明达大厦 ,小北,近地铁 VR看装修 房本满两年 随时看房,1,2个月以前发布,2室1厅,49.06平米,南,精装,低楼层(共21层),塔楼,1999年,3280000.0,66857
大院管理，南北西向单边位3房，产权清晰，使用率高,福今路 ,东山口,VR房源 房本满五年,7,3个月以前发布,3室2厅,86.1平米,南,简装,中楼层(共9层),塔楼,,3950000.0,45877
东川路原装电梯，有小区管理，采光通风好，近东川小。,东川大厦 ,东川路,近地铁 VR看装修 房本满两年,1,2个月以前发布,2室1厅,48.53平米,北,精装,中楼层(共15层),塔楼,2003年,2680000.0,55224
次新装修，有电梯，东风公园旁，空置，看房方便。,水荫路 ,水荫,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,3室1厅,66.17平米,西北,精装,低楼层(共9层),塔楼,,2980000.0,45036
老报社 大院管理 高层楼房 视野开阔！,老报社大院 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,2室1厅,55.98平米,南北,简装,高楼层(共8层),板楼,,3640000.0,65024
广信美景大厦 南北向大两房 产权过五年 通风采光好,广信美景大厦 ,五羊新城,近地铁 VR看装修 随时看房,0,1个月以前发布,2室1厅,91.1平米,东南,简装,中楼层(共25层),塔楼,1993年,3780000.0,41493
省级农林下不占用  框架结构 南向两房 近地铁,农林下路 ,东风东,VR看装修 房本满两年 随时看房,25,一年前发布,2室1厅,58.95平米,南,精装,中楼层(共8层),塔楼,,2700000.0,45802
小区管理，户型方正，通风采光交通方便,梅花村 ,东风东,近地铁 VR看装修 房本满五年,3,1个月以前发布,2室1厅,61.57平米,南北,简装,中楼层(共6层),板楼,2000年,3500000.0,56846
梅花村 电梯 框架结构 可公积金 楼龄新,梅花村 ,东风东,近地铁 VR看装修 房本满五年,0,2个月以前发布,3室1厅,66.1平米,南北,精装,中楼层(共8层),塔楼,1990年,4380000.0,66264
广园东路三房 楼层好 采光充足 配套设施齐全 交通便利,广园东路 ,沙河,VR看装修 房本满两年 随时看房,3,2个月以前发布,3室1厅,62.43平米,西南,简装,中楼层(共5层),塔楼,,1295000.0,20744
东山口电梯三房，东南向，铁一，房改，，靓，四通八达,百好居 ,东山口,近地铁 VR房源 房本满五年,2,4个月以前发布,3室1厅,112.99平米,东南,简装,中楼层(共31层),塔楼,2000年,6680000.0,59121
东山培正，此房满五不唯一，房子安静舒适，看房方便,培正一横路 ,东山口,VR房源 房本满五年 随时看房,7,8个月以前发布,2室1厅,37.57平米,东,其他,中楼层(共6层),塔楼,1998年,2600000.0,69205
碧翠园 电梯三房二卫 东南向 单边位 精装修 通风采光,碧翠苑 ,麓景,VR看装修 房本满五年 随时看房,1,4,3室2厅,92.11平米,东南,精装,低楼层(共9层),塔楼,1997年,3100000.0,33656
电梯平层3楼 东向两房 方正实用,大德路 ,解放南,近地铁 VR房源 房本满两年 随时看房,0,10,2室1厅,71.13平米,东北,简装,低楼层(共9层),塔楼,,2200000.0,30930
三育路小区 准电梯 视野开阔 无遮挡 通风采光好 框架,三育路 ,东山口,VR看装修 房本满五年,0,15,3室2厅,92.95平米,南北,简装,中楼层(共8层),板楼,,3980000.0,42819
西门口惠福西3房2厅精装修框架 有天台  满5唯一,惠福西路 ,西门口,近地铁 VR房源 房本满五年 随时看房,4,2个月以前发布,3室1厅,81.09平米,南,精装,高楼层(共5层),板楼,,2590000.0,31940
