标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
一线望江 原装电梯大三房 东南向采光通风好 近地铁,滨江西路 ,滨江西,近地铁 VR看装修 房本满五年,23,一年前发布,3室2厅,89.01平米,南,精装,高楼层(共20层),塔楼,,3000000.0,33705
水岸榕城小有两房  精装修保养新净,光大花园水岸榕城 ,工业大道北,近地铁 VR看装修 房本满五年,2,1个月以前发布,2室1厅,83.12平米,北,简装,中楼层(共17层),塔楼,2009年,4550000.0,54741
地铁就在小区门口，东南单边，实用三房，望小区园林,金雅苑 ,滨江东,VR房源 房本满五年,0,11,3室1厅,72.89平米,东南,精装,9层,塔楼,1998年,2950000.0,40472
新收东翠花园原装电梯房 布局方正 视野好 诚心放卖,东翠花园 ,东晓路,VR房源 房本满五年,4,1个月以前发布,3室2厅,105.37平米,东,简装,中楼层(共12层),塔楼,2003年,4480000.0,42517
一桥之隔珠江新城，南向精装大两房,经典居 ,滨江东,VR看装修 房本满两年,1,2个月以前发布,2室1厅,69.72平米,南,精装,中楼层(共32层),塔楼,1995年,2600000.0,37293
怡雅居 封闭式管理 一房一厅 户型正气 望花园安静舒适,怡雅居 ,赤岗,近地铁 VR看装修 房本满五年,3,8个月以前发布,1室1厅,43.99平米,东,简装,低楼层(共9层),塔楼,1998年,1050000.0,23870
滨江西方正原装电梯小户型2房 住家精装修,海悦大厦 ,同福,近地铁 VR看装修 房本满五年,0,25,2室1厅,69.52平米,北,其他,中楼层(共30层),塔楼,1995年,2300000.0,33085
凤凰新村 2室1厅 东南,凤凰新村 ,工业大道北,近地铁 VR房源 房本满五年,1,5,2室1厅,44.58平米,东南,简装,高楼层(共9层),塔楼,,1050000.0,23554
临江花园小区 南向四房望花园景观 视野开阔 配套齐全,嘉仕花园东区 ,滨江东,VR房源 房本满五年,0,11,4室2厅,147.44平米,南,精装,33层,塔楼,2004年,9800000.0,66468
南向电梯两房，地铁500米，户型方正，望花园,润南花园 ,昌岗,近地铁 VR房源 房本满五年,4,3个月以前发布,2室1厅,84.91平米,南,简装,中楼层(共9层),塔楼,1998年,2380000.0,28030
业主急卖 翠城大两房，西南向厅出阳台没遮挡，光线好,翠城花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,7,2个月以前发布,2室1厅,78.74平米,东南,精装,中楼层(共29层),塔楼,2009年,3680000.0,46737
滨江西大三房大天台三面单边出行便利,同福西路 ,洪德,近地铁 VR看装修 随时看房,1,11,4室2厅,116.9平米,东南,简装,高楼层(共7层),塔楼,,2480000.0,21215
临江地段 低楼层 小区管理 贷款年限长 可公积金,海城花苑 ,滨江中,近地铁 VR看装修 房本满两年 随时看房,0,1个月以前发布,1室0厅,23.91平米,南,精装,中楼层(共9层),板楼,1998年,650000.0,27186
细面积，小户型，中层2房，地铁沿线，刚需上车盘,荔福路 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,52.8平米,北,简装,中楼层(共9层),塔楼,,1200000.0,22728
凤安花园 电梯平层 两房一厅精装修,凤安花园 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,4,3个月以前发布,2室1厅,56.53平米,南,精装,低楼层(共9层),塔楼,1998年,1450000.0,25651
望江小区花园 原装电梯两房 楼龄新 楼下太古仓江边,海韵轩 ,工业大道北,近地铁 VR房源 随时看房,2,3个月以前发布,2室1厅,66.23平米,东南,简装,16层,塔楼,2001年,2250000.0,33973
杏坛小区 小区花园管理 电梯房 江南二 厅出阳台,杏坛小区 ,宝岗,近地铁 VR看装修 房本满五年 随时看房,1,17,2室1厅,64.98平米,东南,其他,高楼层(共9层),塔楼,2000年,2550000.0,39243
Van松园，大三房，格局方正，配套完善南北对流,前进路(海珠) ,前进路,近地铁 VR房源,2,1个月以前发布,3室1厅,108.01平米,南,简装,高楼层(共9层),塔楼,,3330000.0,30831
中高层正规三房，大视野望小蛮腰，通风采光好,星汇湾花园 ,工业大道中,近地铁 VR看装修 房本满两年,0,1个月以前发布,3室2厅,88.36平米,北,精装,高楼层(共55层),塔楼,,4350000.0,49231
海琴湾一期 厅出阳台 南向三房 户型靓仔 安静舒适,海琴湾宜利苑 ,滨江东,近地铁 VR房源 房本满五年,18,一年前发布,3室2厅,106.93平米,南,简装,高楼层(共9层),塔楼,2000年,3000000.0,28056
市二宫怡安花园中层两房双阳台全明两房无占用,怡安花园 ,滨江中,近地铁 VR房源 房本满五年 随时看房,1,3个月以前发布,2室1厅,70.33平米,西,简装,中楼层(共9层),塔楼,1999年,2300000.0,32703
此房满五 税费少 实用率高 环境安静,建基路电信大厦 ,东晓路,VR房源 房本满五年 随时看房,1,3个月以前发布,2室1厅,104.63平米,东南,精装,中楼层(共28层),塔楼,1997年,3100000.0,29629
框架结构 一梯两户 南向 环境优美宜居 商圈配套成熟,电子七所大院 ,客村,近地铁 VR看装修 房本满五年,5,一年前发布,2室1厅,53.3平米,南,简装,中楼层(共7层),1996年,塔楼,2300000.0,43152
近江边，单边大三房，电梯使用中，交通方便，视野开阔,洪德路 ,洪德,近地铁 VR看装修 随时看房,5,4个月以前发布,3室1厅,86.04平米,南,简装,高楼层(共9层),,塔楼,2250000.0,26151
中旅侨苑电梯实用两房，全明屋，采光通风好,中旅侨苑 ,昌岗,近地铁 VR房源 房本满五年 随时看房,5,6个月以前发布,2室1厅,59.46平米,北,简装,低楼层(共32层),2003年,塔楼,2030000.0,34141
滨江东 大园林小区 南向有厅出小阳台 看江景,珠江广场 ,滨江东,近地铁 VR看装修 房本满五年,1,21,3室2厅,105.26平米,南北,精装,中楼层(共17层),2000年,塔楼,5300000.0,50352
丽海雅居 滨江中 次新楼  近江边,丽海雅居 ,滨江中,VR看装修 房本满五年,11,6个月以前发布,1室1厅,51.7平米,北,简装,中楼层(共28层),2010年,塔楼,2380000.0,46035
工业大道北路半层电梯双阳台3房南北对流通风采光好,工业大道北 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,3室1厅,94.66平米,东南,精装,中楼层(共8层),,塔楼,2680000.0,28312
保利百合花园 电梯2房 视野开阔 采光通风佳 户型方正,保利百合花园 ,江燕路,近地铁 VR看装修 房本满五年,0,5个月以前发布,2室2厅,77.67平米,南西南,精装,高楼层(共18层),2004年,塔楼,3300000.0,42488
海印南苑 单边位户型 视野开阔 通风,海印南苑 ,东晓路,VR看装修 房本满五年,3,11个月以前发布,2室1厅,77.02平米,西南,简装,高楼层(共28层),2000年,塔楼,3100000.0,40250
装修保养好，安静舒适，框架结构，V寿路宜居三房,万寿路 ,前进路,VR看装修 房本满五年,1,23,3室2厅,89.2平米,东北,精装,中楼层(共9层),,塔楼,2300000.0,25785
第三金碧花园 南向三房望江 格局方正实用 采光好,第三金碧花园 ,金碧,近地铁 VR房源 房本满五年 随时看房,2,16,3室2厅,123.18平米,南,精装,中楼层(共32层),2005年,塔楼,4680000.0,37994
带主套精装大三房，带平台，采光充足。,第三金碧花园 ,金碧,近地铁 VR看装修 房本满五年,1,11个月以前发布,3室2厅,112.04平米,东北,简装,低楼层(共32层),2005年,板塔结合,3980000.0,35524
(贝壳优选)逸景西区 经典畅消热门户型 近11号地铁环线,逸景翠园 ,广州大道南,VR房源 房本满五年 随时看房,5,5个月以前发布,3室2厅,109.96平米,北,简装,中楼层(共30层),2007年,塔楼,4380000.0,39833
琶洲改善四房 南向望果园 望江,雅郡花园 ,万胜围,近地铁 VR看装修 房本满五年 随时看房,3,8个月以前发布,4室2厅,136.66平米,南北,精装,中楼层(共11层),2009年,板楼,9280000.0,67906
逸景翠园 地铁11号线 年底通车 花园中间 望广州小蛮腰,逸景翠园 ,广州大道南,VR看装修 房本满两年 随时看房,0,7个月以前发布,2室1厅,67.1平米,西北,精装,高楼层(共18层),2006年,塔楼,3080000.0,45902
户型方正，，配套齐全，交通方便，高层采光好,晓港中马路 ,昌岗,近地铁 VR看装修 房本满五年,1,31,1室1厅,32.96平米,南,简装,高楼层(共6层),,暂无数据,720000.0,21845
证满五年 户型方正南向南北对流 安静舒适 通风采光好,电子七所大院 ,客村,VR看装修 房本满五年,0,27,3室2厅,73.16平米,南,其他,高楼层(共7层),1996年,塔楼,2800000.0,38273
电梯高层三房，近年精装修，保养好，诚心放卖,滨江瑞城 ,东晓南,近地铁 VR房源 房本满五年,12,9个月以前发布,3室1厅,90.41平米,北,其他,中楼层(共31层),2009年,板楼,3450000.0,38160
坚真花园 满五 电梯中层 大塘地铁口,坚真花园 ,赤岗,近地铁 VR看装修 房本满五年,3,一年前发布,2室1厅,51.96平米,南,简装,中楼层(共11层),2005年,塔楼,2680000.0,51579
凤安花园 电梯平层 两房一厅精装修,凤安花园 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,4,3个月以前发布,2室1厅,56.53平米,南,精装,低楼层(共9层),1998年,塔楼,1450000.0,25651
望江小区花园 原装电梯两房 楼龄新 楼下太古仓江边,海韵轩 ,工业大道北,近地铁 VR房源 随时看房,2,3个月以前发布,2室1厅,66.23平米,东南,简装,16层,2001年,塔楼,2250000.0,33973
Van松园，大三房，格局方正，配套完善南北对流,前进路(海珠) ,前进路,近地铁 VR房源,2,1个月以前发布,3室1厅,108.01平米,南,简装,高楼层(共9层),,塔楼,3330000.0,30831
江南西路 青葵大街 方正户型 准电梯 厅出阳台,江南西路 ,江南西,VR看装修 房本满五年,0,10,3室2厅,75.69平米,东南,其他,高楼层(共8层),,塔楼,2830000.0,37390
电梯两房，属于小型社区环境优美旺中带静,荔福路 ,工业大道北,近地铁 VR房源 房本满五年 随时看房,4,6个月以前发布,2室1厅,50.5平米,东南,精装,中楼层(共9层),,塔楼,1420000.0,28119
晓港地铁 平层电梯 有平台花园独立使用,晓港中马路 ,昌岗,VR房源 房本满五年,10,9个月以前发布,2室1厅,57.45平米,北,简装,中楼层(共9层),,塔楼,1520000.0,26458
滨江西方正原装电梯小户型2房 住家精装修,海悦大厦 ,同福,近地铁 VR看装修 房本满五年,0,25,2室1厅,69.52平米,北,其他,中楼层(共30层),1995年,塔楼,2300000.0,33085
东南向高楼层四房，精装修视野开阔景观好望广州塔,润汇大厦 ,江南西,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,4室2厅,116.63平米,东南南,精装,高楼层(共31层),2001年,塔楼,4990000.0,42785
富基广场楼龄新花园小区 东北望江三房两卫海实,富基广场A区 ,滨江中,VR房源 房本满五年 随时看房,9,2个月以前发布,3室2厅,106.48平米,东东北,精装,34层,2005年,塔楼,4700000.0,44140
昌岗东路 3室1厅 东 南 西,昌岗东路 ,昌岗,近地铁 VR看装修 房本满五年 随时看房,2,2个月以前发布,3室1厅,79.35平米,东南西,其他,中楼层(共8层),,暂无数据,1780000.0,22433
精装修拎包即住 满五唯一 户型方正 南北对流,万寿路 ,前进路,VR房源 房本满五年 随时看房,0,30,2室1厅,37.66平米,南,精装,高楼层(共4层),,暂无数据,990000.0,26288
第一金碧 刚需两房 格局方正 采光通透,金碧花园第一金碧 ,金碧,近地铁 VR看装修 房本满五年 随时看房,5,7个月以前发布,2室1厅,53.71平米,南,精装,中楼层(共20层),2000年,塔楼,1600000.0,29790
电梯两房，属于小型社区环境优美旺中带静,荔福路 ,工业大道北,近地铁 VR房源 房本满五年 随时看房,4,6个月以前发布,2室1厅,50.5平米,东南,精装,中楼层(共9层),塔楼,,1420000.0,28119
昌岗东路 3室1厅 东 南 西,昌岗东路 ,昌岗,近地铁 VR看装修 房本满五年 随时看房,2,2个月以前发布,3室1厅,79.35平米,东南西,其他,中楼层(共8层),暂无数据,,1780000.0,22433
富基广场楼龄新花园小区 东北望江三房两卫海实,富基广场A区 ,滨江中,VR房源 房本满五年 随时看房,9,2个月以前发布,3室2厅,106.48平米,东东北,精装,34层,塔楼,2005年,4700000.0,44140
滨江西方正原装电梯小户型2房 住家精装修,海悦大厦 ,同福,近地铁 VR看装修 房本满五年,0,25,2室1厅,69.52平米,北,其他,中楼层(共30层),塔楼,1995年,2300000.0,33085
东南向高楼层四房，精装修视野开阔景观好望广州塔,润汇大厦 ,江南西,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,4室2厅,116.63平米,东南南,精装,高楼层(共31层),塔楼,2001年,4990000.0,42785
江南西路 青葵大街 方正户型 准电梯 厅出阳台,江南西路 ,江南西,VR看装修 房本满五年,0,10,3室2厅,75.69平米,东南,其他,高楼层(共8层),塔楼,,2830000.0,37390
证满五年，装修保养新净，舒适温馨，可领包入住，,金碧花园第一金碧 ,金碧,近地铁 VR看装修 房本满五年 随时看房,255,一年前发布,2室2厅,78.42平米,北,精装,低楼层(共32层),塔楼,2002年,2600000.0,33155
业主急卖 翠城大两房，西南向厅出阳台没遮挡，光线好,翠城花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,7,2个月以前发布,2室1厅,78.74平米,东南,精装,中楼层(共29层),塔楼,2009年,3680000.0,46737
中高层正规三房，大视野望小蛮腰，通风采光好,星汇湾花园 ,工业大道中,近地铁 VR看装修 房本满两年,0,1个月以前发布,3室2厅,88.36平米,北,精装,高楼层(共55层),塔楼,,4350000.0,49231
洪德雅苑方正两房，厅出阳台的电梯在使用中可以公积金,洪德雅苑 ,同福,近地铁 VR房源 房本满五年 随时看房,2,6个月以前发布,2室2厅,56.75平米,北西,简装,低楼层(共9层),塔楼,1998年,1460000.0,25727
康榕苑高层南向望小区正中花园  视野开阔 采光好,光大花园 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,3,3个月以前发布,2室2厅,77.13平米,东南,简装,高楼层(共11层),塔楼,1998年,3900000.0,50564
二期中间楼层两房，格局方正，采光通风好，视野宽阔,富力顺意花园 ,江燕路,近地铁 VR房源 房本满两年,8,2个月以前发布,2室1厅,75.71平米,北,其他,高楼层(共20层),塔楼,2005年,2880000.0,38040
泪水打湿猪脚饭，这个房子我必须去看：好饭！好房！！,嘉仕花园东区 ,滨江东,近地铁 VR看装修 房本满五年,11,7个月以前发布,3室2厅,101.61平米,南北,简装,16层,塔楼,2000年,4500000.0,44287
原装电梯装修精美一房一厅自住出租两相宜,第二金碧花园 ,金碧,近地铁 VR看装修 房本满五年,2,2个月以前发布,1室1厅,27.64平米,北,精装,中楼层(共33层),塔楼,2000年,800000.0,28944
朗晴居二期 开门见绿 舒适望小区花园 3梯4户,朗晴居二期 ,滨江中,VR看装修 房本满五年 随时看房,0,1个月以前发布,4室2厅,133.6平米,东北,精装,低楼层(共31层),塔楼,2000年,6830000.0,51123
市二宫怡安花园中层两房双阳台全明两房无占用,怡安花园 ,滨江中,近地铁 VR房源 房本满五年 随时看房,1,3个月以前发布,2室1厅,70.33平米,西,简装,中楼层(共9层),塔楼,1999年,2300000.0,32703
此房满五 税费少 实用率高 环境安静,建基路电信大厦 ,东晓路,VR房源 房本满五年 随时看房,1,3个月以前发布,2室1厅,104.63平米,东南,精装,中楼层(共28层),塔楼,1997年,3100000.0,29629
第三金碧爵府天下 南北对流 一室一厅,第三金碧花园 ,金碧,近地铁 VR房源 房本满五年 随时看房,4,1个月以前发布,1室1厅,40.46平米,南北,简装,高楼层(共32层),塔楼,2005年,1350000.0,33367
业主诚意出S 次新房 东向三房 中层景观好,金融街融御 ,工业大道南,VR看装修,0,1个月以前发布,3室2厅,101.67平米,东,简装,低楼层(共39层),塔楼,,4700000.0,46228
细面积，小户型，中层2房，地铁沿线，刚需上车盘,荔福路 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,52.8平米,北,简装,中楼层(共9层),塔楼,,1200000.0,22728
03年建成次新，小区少有带双外阳台，南向精装修三房,花城湾畔 ,滨江中,VR房源 房本满五年 随时看房,2,16,3室2厅,108.85平米,南,精装,高楼层(共35层),塔楼,2003年,5600000.0,51447
临江地段 低楼层 小区管理 贷款年限长 可公积金,海城花苑 ,滨江中,近地铁 VR看装修 房本满两年 随时看房,0,1个月以前发布,1室0厅,23.91平米,南,精装,中楼层(共9层),板楼,1998年,650000.0,27186
南向电梯两房，地铁500米，户型方正，望花园,润南花园 ,昌岗,近地铁 VR房源 房本满五年,4,3个月以前发布,2室1厅,84.91平米,南,简装,中楼层(共9层),塔楼,1998年,2380000.0,28030
滨江西大三房大天台三面单边出行便利,同福西路 ,洪德,近地铁 VR看装修 随时看房,1,11,4室2厅,116.9平米,东南,简装,高楼层(共7层),塔楼,,2480000.0,21215
荔福路，楼梯低层，全新精装修两房。,荔福小区 ,沙园,近地铁 VR房源 房本满五年 随时看房,6,11个月以前发布,2室1厅,48.76平米,南,精装,低楼层(共7层),塔楼,2000年,1280000.0,26252
电梯中层 东向望花园 证过五年 交通方便近地铁,晓港湾 ,东晓南,近地铁 VR看装修 房本满五年 随时看房,6,一年前发布,2室1厅,66.31平米,东,简装,中楼层(共9层),塔楼,1999年,1690000.0,25487
南向方正两房 满五年 税费低 总低刚需上车必备,广纸小区 ,工业大道中,近地铁 VR看装修 房本满五年,18,一年前发布,2室1厅,62.3平米,南,精装,高楼层(共6层),板楼,1994年,1250000.0,20065
昌岗中路 方正两房 近地铁 采光很好,昌岗中路 ,昌岗,VR房源 房本满五年,2,7个月以前发布,2室1厅,57.9平米,西南,精装,中楼层(共8层),板楼,,1450000.0,25044
宏宇广场原装电梯户型方正 西南向两房 省级,宏宇广场 ,宝岗,近地铁 VR看装修 房本满五年,5,一年前发布,2室1厅,65.38平米,西,简装,低楼层(共31层),塔楼,2000年,1800000.0,27532
远洋宿舍 电梯房 南北对流 实用3房2厅 天*花园,远洋宿舍（晓港） ,中大,近地铁 VR看装修 随时看房,2,9,3室2厅,100.57平米,南北,简装,高楼层(共9层),塔楼,1996年,3500000.0,34802
保利百合花园 电梯2房 视野开阔 采光通风佳 户型方正,保利百合花园 ,江燕路,近地铁 VR看装修 房本满五年,0,5个月以前发布,2室2厅,77.67平米,南西南,精装,高楼层(共18层),2004年,塔楼,3300000.0,42488
水岸榕城 满五唯一 视野开阔 精装保养好 双阳台  省级,光大花园水岸榕城 ,工业大道北,近地铁 VR看装修 房本满五年,1,16,2室2厅,78.79平米,东北,精装,高楼层(共18层),2009年,塔楼,4350000.0,55211
装修保养好，安静舒适，框架结构，V寿路宜居三房,万寿路 ,前进路,VR看装修 房本满五年,1,23,3室2厅,89.2平米,东北,精装,中楼层(共9层),,塔楼,2300000.0,25785
双地铁，南北对流大两房，高层望塔，视野无遮挡。,敦和花园 ,广州大道南,近地铁 VR房源 房本满五年 随时看房,0,25,2室2厅,70.31平米,北,简装,高楼层(共9层),1998年,塔楼,2200000.0,31291
工业大道北路半层电梯双阳台3房南北对流通风采光好,工业大道北 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,3室1厅,94.66平米,东南,精装,中楼层(共8层),,塔楼,2680000.0,28312
证满五年 户型方正南向南北对流 安静舒适 通风采光好,电子七所大院 ,客村,VR看装修 房本满五年,0,27,3室2厅,73.16平米,南,其他,高楼层(共7层),1996年,塔楼,2800000.0,38273
电梯高层三房，近年精装修，保养好，诚心放卖,滨江瑞城 ,东晓南,近地铁 VR房源 房本满五年,12,9个月以前发布,3室1厅,90.41平米,北,其他,中楼层(共31层),2009年,板楼,3450000.0,38160
过五唯一免个税，看小区花园，精致二改三，安静不吵,翠城花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,4,7个月以前发布,2室1厅,75.99平米,西南,精装,高楼层(共33层),2009年,塔楼,3450000.0,45401
私家平台 复式大两房上车盘 地处昌岗+江南西,昌岗中路 ,昌岗,近地铁 VR房源 房本满五年,11,一年前发布,2室1厅,62.88平米,南,简装,中楼层(共5层),,暂无数据,1300000.0,20675
海珠半岛花园二期 层高3.1米 东向望江 望广州塔,海珠半岛花园 ,滨江东,VR房源 房本满五年 随时看房,0,22,3室2厅,118.8平米,东北,简装,46层,2000年,塔楼,6300000.0,53031
户型方正，，配套齐全，交通方便，高层采光好,晓港中马路 ,昌岗,近地铁 VR看装修 房本满五年,1,31,1室1厅,32.96平米,南,简装,高楼层(共6层),,暂无数据,720000.0,21845
(贝壳优选)逸景西区 经典畅消热门户型 近11号地铁环线,逸景翠园 ,广州大道南,VR房源 房本满五年 随时看房,5,5个月以前发布,3室2厅,109.96平米,北,简装,中楼层(共30层),2007年,塔楼,4380000.0,39833
精装修1房1厅 南向 满五年 随时可看,第二金碧花园 ,金碧,近地铁 VR看装修 房本满五年 随时看房,0,21,1室1厅,27.64平米,南,简装,低楼层(共33层),2000年,板楼,900000.0,32562
海印南苑 单边位户型 视野开阔 通风,海印南苑 ,东晓路,VR看装修 房本满五年,3,11个月以前发布,2室1厅,77.02平米,西南,简装,高楼层(共28层),2000年,塔楼,3100000.0,40250
带主套精装大三房，带平台，采光充足。,第三金碧花园 ,金碧,近地铁 VR看装修 房本满五年,1,11个月以前发布,3室2厅,112.04平米,东北,简装,低楼层(共32层),2005年,板塔结合,3980000.0,35524
逸景翠园 地铁11号线 年底通车 花园中间 望广州小蛮腰,逸景翠园 ,广州大道南,VR看装修 房本满两年 随时看房,0,7个月以前发布,2室1厅,67.1平米,西北,精装,高楼层(共18层),2006年,塔楼,3080000.0,45902
满五唯一，高层采光好，看湖看塔，位置安静,珠江帝景苑 ,滨江东,VR房源 房本满五年 随时看房,1,8个月以前发布,4室2厅,153.92平米,北,精装,高楼层(共13层),2005年,塔楼,10600000.0,68867
次新房 南向正规四房 精装修拎包入住 一线望江,星汇湾花园 ,工业大道中,近地铁 VR看装修 房本满两年 随时看房,1,3个月以前发布,4室2厅,101.7平米,南,精装,低楼层(共55层),,塔楼,6100000.0,59981
琶洲改善四房 南向望果园 望江,雅郡花园 ,万胜围,近地铁 VR看装修 房本满五年 随时看房,3,8个月以前发布,4室2厅,136.66平米,南北,精装,中楼层(共11层),2009年,板楼,9280000.0,67906
金汇花园B区单位 安静不吵 楼龄新 封闭式管理,金汇花园 ,前进路,VR看装修 房本满五年 随时看房,5,6个月以前发布,3室1厅,86.86平米,东北,简装,9层,1997年,塔楼,2250000.0,25904
江燕花园 优质电梯两房 南向 近地铁,江燕花园 ,江燕路,近地铁 VR看装修 房本满五年,0,11,2室1厅,83.81平米,南,简装,高楼层(共9层),1996年,塔楼,2580000.0,30784
地段好  房子保养得很好  东南向  正规两房  自住,礼岗路 ,昌岗,VR看装修 房本满五年,3,1个月以前发布,2室1厅,64.01平米,东南,简装,高楼层(共7层),,塔楼,1480000.0,23122
顺景雅苑 小区中*心 位置安静 户型方正 采光充足,顺景雅苑 ,新港西,近地铁 VR房源 房本满五年 随时看房,1,2个月以前发布,2室2厅,76.12平米,西北,其他,中楼层(共13层),2000年,塔楼,2500000.0,32843
晓港湾 精装三房 三地铁交汇 拎包入住 主卧直面广州塔,晓港湾 ,东晓南,近地铁 VR看装修 房本满两年 随时看房,3,5个月以前发布,3室1厅,60.49平米,东南,精装,低楼层(共23层),1999年,塔楼,2170000.0,35874
沙园地铁50米两房光线好户型方正,五一新村 ,沙园,近地铁 VR房源 房本满五年 随时看房,1,18,2室1厅,43.46平米,东南,简装,中楼层(共5层),1999年,板楼,1050000.0,24161
富景花园 两房 业主诚心卖 近地铁口 适合刚需人群,富景花园 ,新港西,近地铁 VR看装修 房本满两年 随时看房,11,8个月以前发布,2室1厅,65.07平米,南,简装,低楼层(共32层),2003年,塔楼,2220000.0,34118
近地铁交通便利 电梯高层 南向大阳台 南北对流户型好,缝纫机厂宿舍 ,新港西,VR看装修 房本满五年,1,11,2室2厅,67.58平米,南,精装,高楼层(共8层),1996年,板楼,1950000.0,28855
地铁150米电梯两房 交通生活便利  各付各税 看房方便,粤信广场阳光公寓 ,赤岗,VR看装修 房本满五年,1,3个月以前发布,2室1厅,93.23平米,东南南,简装,低楼层(共9层),1997年,塔楼,2700000.0,28961
晓港湾正规一房一厅  电梯中层  方正实用,晓港湾 ,东晓南,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,1室1厅,38.87平米,东,简装,中楼层(共9层),1999年,塔楼,990000.0,25470
海珠小雅 次新房 电梯高层南向望江 视野开阔 户型方正,雅居乐海珠小雅 ,工业大道南,VR房源 房本满两年 随时看房,2,1个月以前发布,3室1厅,97.29平米,东南南,精装,中楼层(共33层),2019年,塔楼,4350000.0,44712
全新格调装修地铁口只有100米高层望江电梯大四房,保利丰花园 ,洪德,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室2厅,111.59平米,西南,其他,高楼层(共32层),1997年,塔楼,3780000.0,33875
沙园五一新村低层采光通风好单边带小入户2房石米混马,五一新村 ,沙园,近地铁 VR看装修,1,3,2室1厅,46.92平米,东,简装,低楼层(共10层),1999年,塔楼,1200000.0,25576
自由心岸 2室1厅 东南,自由心岸 ,滨江中,VR房源 房本满五年 随时看房,2,5个月以前发布,2室1厅,85.41平米,东南,精装,低楼层(共30层),2003年,塔楼,3450000.0,40394
东晓南 侨诚花园 电梯中层两房 户型方正 保养好,侨诚花园 ,东晓南,近地铁 VR看装修 房本满五年,7,2个月以前发布,2室1厅,54.27平米,东,精装,中楼层(共10层),1999年,塔楼,1550000.0,28561
逸景翠园 电梯四房 东南园景 证过五年 有匙即睇,逸景翠园 ,广州大道南,VR房源 房本满五年 随时看房,6,5个月以前发布,4室2厅,124.81平米,东南,简装,低楼层(共26层),2005年,塔楼,4990000.0,39981
南向安静一房一厅，户型方正，首付低,纺织路(海珠) ,滨江中,VR房源 房本满五年 随时看房,8,1个月以前发布,1室1厅,29.04平米,东南,其他,低楼层(共3层),,暂无数据,540000.0,18596
满五唯一，南北对流，安静望江，视野开阔！,第三金碧花园 ,金碧,近地铁 VR房源 房本满五年 随时看房,7,3个月以前发布,1室1厅,36.07平米,南北,简装,高楼层(共32层),2005年,板塔结合,1350000.0,37428
聚德花苑 正规两房 有钥匙随时可以看房 即买即住,聚德花苑 ,赤岗,VR房源 房本满五年 随时看房,1,5,2室1厅,49.19平米,北南,其他,高楼层(共10层),1997年,塔楼,1350000.0,27445
建基路 电梯到5楼，安静两房 装修好,建基路 ,东晓路,VR看装修 房本满两年 随时看房,9,9个月以前发布,2室1厅,60.7平米,南,简装,高楼层(共10层),1992年,塔楼,1430000.0,23559
穗花三房，，中楼层，加装走半层电梯，无占用,穗花新村 ,昌岗,近地铁 VR房源 房本满五年,8,2个月以前发布,3室1厅,63.74平米,北,简装,中楼层(共9层),1995年,塔楼,2350000.0,36869
原电梯房 实用2房 江泰路地铁站600米 生活配套齐全,泰沙路 ,江燕路,近地铁 VR房源 房本满五年 随时看房,1,7,2室1厅,48.31平米,东南,精装,高楼层(共12层),1990年,塔楼,1450000.0,30015
西区花园里 视野开阔 安静舒适 户型好 税费少,逸景翠园 ,广州大道南,VR房源 房本满五年,1,26,2室2厅,74.18平米,北,简装,中楼层(共12层),2004年,塔楼,3230000.0,43543
赤岗地铁站876米，低楼层， 精装两房,军休五所家属院 ,赤岗,近地铁 VR看装修 房本满五年 随时看房,5,5个月以前发布,2室1厅,62.57平米,南,其他,低楼层(共9层),,塔楼,1580000.0,25252
赤岗三街 南向中层两房 户型方正 单边位 采光好,赤岗三街2至28号小区 ,赤岗,VR看装修 房本满五年 随时看房,3,2个月以前发布,2室1厅,51.13平米,南,简装,中楼层(共8层),1995年,塔楼,1380000.0,26991
电器研究所 东南向 近地铁 保养好 环境优美,电器研究所 ,新港西,VR看装修 房本满五年 随时看房,3,5个月以前发布,2室1厅,64.53平米,东南,简装,高楼层(共6层),1993年,塔楼,1780000.0,27585
晓燕湾加装电梯两房，望花园安静不吵,晓燕湾 ,江燕路,近地铁 VR房源 房本满五年,0,5个月以前发布,2室1厅,68.56平米,西,简装,中楼层(共10层),1999年,塔楼,2380000.0,34715
