位置,次数,经度,纬度
金燕花苑 ,2,113.329213,23.157812
凯德山海连城二期 ,2,113.510504,23.015357
白云家园 ,2,113.323897,23.178478
环市西路 ,2,113.247181,23.145309
海力花园 ,2,113.573597,22.800845
新城市宜家 ,2,113.314413,23.0187
电视台小区 ,2,113.256301,23.168137
盈富居 ,2,113.227803,23.145161
绿地珑玥府 ,2,113.844207,23.271902
观海美寓 ,2,113.576823,22.744065
春鸿居 ,2,113.294262,23.213619
怡乐路13号大院 ,2,113.291843,23.102915
万科天景花园 ,2,113.182416,23.37338
时代柏林 ,2,113.357473,22.919053
亚运城媒体村(南区) ,2,113.475015,22.944376
自在城市花园四期诺德名筑 ,2,113.346242,22.988315
金碧花园第一金碧 ,2,113.287751,23.068768
阳光城丽景湾·星悦 ,2,113.543333,22.818314
北丽园 ,2,113.363237,22.943476
中海康城 ,2,113.40232,23.132888
岭南新世界 ,2,113.294217,23.23228
银建小区 ,2,113.242868,23.13108
华景雅苑德维轩 ,2,113.190919,23.412476
万科里享家 ,2,113.567227,23.196649
保利丰花园 ,2,113.253232,23.100071
祈福新村康怡居 ,2,113.325406,22.958314
奥园广场 ,2,113.361094,22.924262
时代城 ,2,113.543415,23.111907
富力新居 ,2,113.236325,23.133619
汇侨新城北区 ,2,113.257198,23.200033
保利城 ,2,113.164353,23.375358
杨巷路 ,2,113.249872,23.114077
华景新城怡景园 ,2,113.514375,22.827732
金泽华庭 ,2,113.618552,23.11519
雅景苑 ,2,113.308868,23.100253
康裕园 ,2,113.353925,22.943586
龙津西路 ,2,113.237134,23.122199
碧桂园凤凰城凤盈苑 ,2,113.562779,23.128719
峰境园 ,2,,
金雅苑 ,2,113.293409,23.102931
富雅名居 ,2,113.612964,23.13159
保利麓苑 ,2,113.284012,23.141228
江南大道中 ,2,113.273547,23.098282
雪域澜庭A2区 ,2,113.226253,23.430546
龟岗大马路 ,2,113.294778,23.121344
农林华府 ,2,113.29642,23.132274
福雅居 ,2,113.253245,23.102165
海印苑 ,2,113.288565,23.119419
气象局大院 ,2,113.303056,23.129262
万科山景城 ,2,113.525303,23.210752
珠光路 ,1,113.273063,23.118639
先烈中路 ,1,113.298348,23.139859
教育路(越秀) ,1,,
桨栏路 ,1,113.252524,23.112276
多宝华厦 ,1,113.239677,23.116235
东华市场东华东路 ,1,113.281194,23.447405
培正路 ,1,113.297064,23.118837
惠福东路 ,1,113.265427,23.120612
同庆路 ,1,113.264844,23.109533
锦桦大厦锦桦荟 ,1,113.288068,23.122083
广船鹤园小区 ,1,113.24037,23.074128
雅居乐雍逸豪庭 ,1,113.379503,23.010132
珠光流溪御景 ,1,113.563149,23.523355
新福港鼎峰 ,1,113.486532,23.17862
海富花园 ,1,113.277736,23.083776
富力伯爵山 ,1,113.587608,22.764417
万科南方公元 ,1,113.501579,22.805942
西福蓝湾 ,1,113.676094,23.270952
应元路 ,1,113.26733,23.134909
美力花园 ,1,,
保利中航城二期 ,1,113.242327,23.064409
万科城 ,1,113.449526,23.185493
华侨花园 ,1,113.218645,23.39312
越秀滨海悦城 ,1,113.530759,22.792643
富庄庭 ,1,113.227175,23.387046
花都颐和山庄 ,1,113.273891,23.5129
亚运城天峯1区 ,1,113.490313,22.947399
南方电网宿舍 ,1,113.318964,23.132887
滨江西路 ,1,113.248006,23.10346
保利东江首府 ,1,113.631639,23.109092
尚东阳光 ,1,113.574632,23.102795
雅居乐小院流溪 ,1,113.56532,23.514229
颐和盛世 ,1,113.076489,23.237277
时代南湾 ,1,113.59206,22.777407
豪进山湖珺璟 ,1,113.592001,23.116063
祈福缤纷汇 ,1,113.331628,22.9704
南田路 ,1,113.264394,23.098954
广园云苑新村 ,1,113.270306,23.165669
新城国际 ,1,,
托斯卡纳(从化区) ,1,113.615875,23.613543
科慧花园 ,1,113.673032,23.280088
时代印记(广州) ,1,113.488898,23.401556
福龙苑 ,1,113.333352,23.154304
金地香山湖 ,1,113.616578,23.224196
中惠璧珑湾 ,1,113.530164,22.800446
岭南公馆 ,1,,
雪域澜庭A1区 ,1,113.229405,23.432372
德安新村 ,1,113.374279,22.935101
工会大厦 ,1,113.276819,23.118065
豪景花园 ,1,113.207511,23.156296
紫泉翠荔嘉园 ,1,113.486979,23.442353
天马河壹号 ,1,113.183617,23.377081
雄峰城 ,1,113.303486,22.970797
盘福路 ,1,113.259215,23.133346
上城湾畔B区 ,1,113.588175,23.527463
海伦堡流金岁月 ,1,113.352247,22.925684
风神花园 ,1,113.15542,23.380076
华侨乐园 ,1,113.290183,23.142804
万科城市之光E区 ,1,113.462436,23.102638
碧桂园映象 ,1,113.624265,23.365298
碧桂园豪进左岸 ,1,113.803323,23.182188
天河广场 ,1,113.403072,23.12222
珠江花园 ,1,113.345807,23.031561
祈福新村青怡居 ,1,113.325288,22.964811
东骏花园 ,1,113.214369,23.402117
广州敏捷绿湖首府 ,1,113.788556,23.200594
南沙奥园 ,1,113.592807,22.755399
西湾苑 ,1,113.245167,23.145753
光大花园中海锦榕湾 ,1,113.258819,23.084844
金山谷尚层 ,1,113.347407,22.977775
西华路 ,1,113.246943,23.132227
聚宝阁 ,1,,
亚太新城富丽园 ,1,113.609542,23.127526
东方白云花园 ,1,113.389467,22.948761
文船生活区新东区 ,1,113.481098,23.097455
沙和路 ,1,113.316613,23.155682
祈福辉煌台 ,1,113.192905,23.37523
港航华庭 ,1,113.580338,22.797083
南沙湾东苑 ,1,113.609965,22.765073
陈岗路 ,1,113.250314,23.141473
侨怡苑 ,1,113.3302,23.140668
福宁路 ,1,113.338822,22.965938
阳光城丽景湾·澜悦 ,1,113.543333,22.818314
晓港西马路 ,1,113.282939,23.091437
中房观湖国际 ,1,113.223384,23.372578
恒大山水城 ,1,113.616693,23.295822
富丽家园乳芳园 ,1,113.312073,23.027245
星誉花园 ,1,113.358999,22.96271
公园前9号小区 ,1,113.265467,23.128343
华景新城泽晖苑 ,1,113.362231,23.139277
湖畔花园 ,1,113.220956,23.372619
中新紫荆府 ,1,113.648548,23.275542
金建苑 ,1,113.330471,23.160298
丽江花园华林居 ,1,113.299563,23.031076
亚运城媒体北村 ,1,113.496839,22.945668
蓝色康园 ,1,113.302992,23.102294
保利拾光年 ,1,113.528299,23.333533
洪德雅苑 ,1,113.256537,23.097899
东晖名苑 ,1,113.216117,23.404396
祥景花园AC区 ,1,113.270668,23.204335
富泽园 ,1,113.252988,23.092012
方圆明月山溪 ,1,113.634318,23.629203
永福路永福西约 ,1,113.302899,23.147246
萝岗敏捷广场 ,1,113.482102,23.191191
亚运城天成 ,1,113.476266,22.946748
金泽花园 ,1,113.617201,23.11735
龙湾广场 ,1,113.206091,23.117307
区庄村 ,1,113.295541,23.134807
棠德花苑 ,1,113.381765,23.134095
顺德碧桂园芷兰湾 ,1,113.286421,22.92122
富雅都市华庭 ,1,113.624432,23.13269
广州万科城 ,1,113.449526,23.185493
都府社区 ,1,113.270036,23.129961
东方花园又一村 ,1,113.378398,22.930144
湖滨小区 ,1,113.287067,23.116413
瑞晖花园 ,1,113.220697,23.202648
汇东国际花园 ,1,113.583694,23.118748
人盛巴厘天地 ,1,113.534725,23.491611
金时花园 ,1,113.856105,23.273895
东方名都花园 ,1,113.591429,23.125761
大新路 ,1,113.257055,23.115532
福今西 ,1,,
福今东 ,1,113.304438,23.130844
共和南路 ,1,113.400006,23.381368
创基丽江国际 ,1,113.820531,23.271515
万寿路 ,1,113.280863,23.102448
宏达北路 ,1,113.613,23.108003
丽江花园丽茹楼 ,1,113.300635,23.034434
碧泰豪苑 ,1,113.209199,23.410879
保利心语 ,1,113.330082,23.121811
华景新城怡华台 ,1,113.362803,23.140145
松园大厦(花都区) ,1,,
银都大厦 ,1,113.361394,22.948413
鸿城花园 ,1,,
解放北路(越秀区) ,1,,
城启荔港南湾 ,1,113.229131,23.135575
沙园 ,1,113.265104,23.085737
南华西路 ,1,113.256739,23.105767
菜园东 ,1,113.290075,23.122218
起义路 ,1,113.26488,23.116494
华侨新村 ,1,113.290152,23.138389
小东园 ,1,113.297693,23.123782
新平路 ,1,113.337233,22.94356
天字广场 ,1,113.270535,23.115029
金羊花园 ,1,113.309351,23.126729
合汇学府名郡 ,1,113.581719,23.112255
丰年华庭 ,1,,
市委党校大院 ,1,113.303488,23.146319
海珠中路 ,1,113.256442,23.120514
滨江1933 ,1,113.262716,23.108972
达道路 ,1,113.30176,23.121987
八旗二马路 ,1,113.274443,23.115852
逢源路 ,1,113.239482,23.119889
执信南路 ,1,113.292997,23.127447
惠福西路 ,1,113.259128,23.119982
珠岛花园 ,1,113.223957,23.131125
多宝路 ,1,113.238558,23.116614
长堤大马路 ,1,113.257447,23.11035
新河浦路 ,1,113.293145,23.119183
龟岗四马路 ,1,113.294288,23.120802
珠光雅居 ,1,113.275079,23.118071
东湖北大院 ,1,113.291528,23.118458
西华路 ,28,113.246943,23.132227
珠岛花园 ,19,113.223957,23.131125
环市西路 ,16,113.247181,23.145309
中山七路 ,15,113.249294,23.125641
城启荔港南湾 ,15,113.229131,23.135575
万科柏悦湾 ,13,113.221811,23.120737
龙津西路 ,12,113.237134,23.122199
西湾东路 ,12,113.243921,23.141159
新世界凯粤湾 ,11,113.214541,23.115768
富力环市西苑 ,10,113.239334,23.14163
花语水岸 ,10,113.215843,23.125963
南岸路 ,10,113.230436,23.133314
金道花园 ,9,113.815363,23.275428
金湾明珠 ,9,113.223114,23.131579
万科海上传奇 ,8,113.232385,23.102829
富力新居 ,7,113.236325,23.133619
西湾路 ,7,113.241577,23.149424
黄沙大道 ,7,113.231779,23.11686
宝华路(荔湾) ,7,,
岭南湾畔 ,6,113.240072,23.150923
乐怡居 ,6,113.230779,23.084634
龙津东路 ,6,113.25122,23.121753
文昌南路 ,6,113.244396,23.11568
逢源路 ,6,113.239482,23.119889
广雅路 ,6,113.242641,23.140201
多宝路 ,6,113.238558,23.116614
鸿图苑 ,6,113.225959,23.084721
四季花园 ,5,113.232255,23.071171
新世界逸彩庭园 ,5,113.293269,23.079234
北大资源博雅1898 ,5,113.244278,23.072653
合兴苑 ,5,113.230808,23.092355
广船鹤园小区 ,5,113.24037,23.074128
骏业阁 ,5,113.24477,23.115798
站前路(荔湾) ,5,,
悦江上品苑 ,5,113.214983,23.132107
蓬莱路 ,5,113.237087,23.113538
桃源社区 ,5,113.252699,23.128301
西关尚品 ,5,113.24774,23.111907
西湾苑 ,4,113.245167,23.145753
金花苑 ,4,113.250518,23.127824
十八甫北路 ,4,113.245921,23.113624
流花路 ,4,113.250564,23.138232
杨巷路 ,4,113.249872,23.114077
金宇花园 ,4,113.253688,23.060617
陈岗路 ,4,113.250314,23.141473
华发中央公园 ,4,113.236941,23.065643
文昌花园 ,4,,
丰年华庭 ,4,,
西关大厦 ,4,113.249153,23.112446
辉洋苑 ,4,113.228823,23.124506
恒宝华庭 ,4,113.241439,23.117587
恒利翠竹苑 ,4,113.397862,22.942476
华贵路 ,4,113.241989,23.122314
金融街融穗华府 ,4,113.239756,23.066921
恩宁路 ,4,113.238286,23.114231
逸翠湾 ,4,113.241103,23.110797
杉木栏路 ,4,113.247841,23.110393
荔江美筑 ,4,113.215467,23.111763
荔新大厦 ,4,113.241984,23.143592
荷柳苑 ,3,113.229508,23.128109
芳雅苑 ,3,113.218744,23.10825
保利紫林香苑 ,3,113.204491,23.077108
芳和花园 ,3,113.227229,23.076916
葛洲坝广州紫郡府 ,3,113.244061,23.064989
元邦明月星辉 ,3,113.24527,23.120511
龙湾广场 ,3,113.206091,23.117307
中海锦汇华庭（A区） ,3,113.326705,23.187735
桨栏路 ,3,113.252524,23.112276
光复南路 ,3,113.252172,23.114821
翠岛居 ,3,113.219896,23.13554
龙锦大厦 ,3,113.250316,23.12264
世纪广场 ,3,113.246538,23.1239
保利碧桂园·公园大道 ,3,113.614753,23.117655
中山八路 ,3,113.23606,23.125589
环翠园 ,3,113.234823,23.130307
龙津大厦 ,3,113.246181,23.122896
银建小区 ,3,113.242868,23.13108
桥东小区 ,3,113.286327,23.099099
荔尚国际 ,3,,
长乐花苑二期 ,3,,
金花小区 ,3,113.251166,23.129205
南源花园 ,3,113.234823,23.133971
长寿东路 ,2,113.249878,23.118046
丛桂路 ,2,113.237695,23.108214
惠城花园 ,2,113.246318,23.122061
东鹏花园一期 ,2,113.22878,23.081573
金兰苑 ,2,113.221645,23.08244
南京路14号大院 ,2,113.239358,23.14398
保利花海湾 ,2,113.221309,23.089005
大同路(荔湾) ,2,,
富力广场T区 ,2,113.240173,23.123764
路劲隽泷湾 ,2,113.209059,23.081465
宝源路 ,2,113.23914,23.118819
西增路 ,2,113.239358,23.143783
怡芳苑 ,2,113.231789,23.095437
力诚欣悦湾 ,2,113.225774,23.090862
多宝华厦 ,2,113.239677,23.116235
芳华苑 ,2,113.223282,23.105009
周门小区周门北路 ,2,113.240358,23.132084
荔湾路 ,2,113.244113,23.12967
保利东郡 ,2,113.250637,23.066566
十八甫南路 ,2,113.246203,23.1104
上九路 ,2,113.251869,23.11587
十三行路 ,2,113.252339,23.110963
接龙里小区 ,2,113.241941,23.092894
府前阁 ,2,113.222473,23.105362
中信苑 ,2,113.236215,23.126874
西场电器城 ,1,113.233192,23.139429
伟腾阁 ,1,,
荔康大厦 ,1,113.247874,23.128229
中海花湾壹号C区 ,1,113.236401,23.067202
陈岗路2号大院 ,1,113.252072,23.140498
茶滘新村 ,1,113.228454,23.091275
芳村花园 ,1,113.223544,23.077088
御景壹号 ,1,113.600783,23.530338
保利花香美苑 ,1,113.213006,23.080939
鹅潭湾 ,1,113.209662,23.119513
保利和光晨樾 ,1,113.241551,23.064037
和平南小区 ,1,113.238906,23.1361
牡丹阁 ,1,113.326945,23.196586
富力广场S区 ,1,113.238111,23.123314
顺景楼(荔湾区) ,1,,
金纶大厦 ,1,113.246035,23.131331
富力君湖华庭 ,1,113.249222,23.140174
富力广场D区 ,1,113.237156,23.124899
富力广场A区 ,1,113.238928,23.123699
业丰花园 ,1,113.244959,23.142207
保利西悦湾 ,1,113.224478,23.080631
怡康苑 ,1,113.233234,23.068657
芬芳小区 ,1,113.224541,23.084214
碧桂园朝花 ,1,113.233209,23.067592
金门大厦 ,1,113.254399,23.128056
宏新华庭 ,1,113.252031,23.123995
西门口广场 ,1,113.252878,23.125793
龙津商贸大厦 ,1,113.251641,23.120789
紫莱苑 ,1,113.215266,23.103081
西关海 ,1,113.228716,23.133108
怡福花园 ,1,113.217625,23.106088
鹤洞路 ,1,113.242594,23.073983
王圣堂莲塘前街4号 ,1,113.248512,23.149521
文昌雅居 ,1,113.244222,23.120842
君荟名轩 ,1,113.24301,23.143397
金达阁 ,1,113.221239,23.106723
中海锦观华庭D区 ,1,113.241418,23.069824
嘉茗华庭 ,1,113.225983,23.102788
春蕾苑 ,1,113.245237,23.116415
福盛花苑 ,1,113.24617,23.075257
光复北路 ,1,113.253366,23.126345
沙涌新村 ,1,113.24559,23.082392
站前横路 ,1,113.252211,23.142253
幸福新村 ,1,113.242736,23.12774
周门小区周门街 ,1,113.238375,23.128779
如意坊路 ,1,113.229423,23.118996
城启晴轩 ,1,113.243319,23.116185
十三甫路 ,1,113.244211,23.111906
珠玑路 ,1,113.243609,23.111057
和乐大厦 ,1,113.249888,23.111355
和平西路 ,1,113.242335,23.111579
荔景华庭 ,1,113.245814,23.112509
花地大道北 ,1,113.234354,23.094448
六二三路 ,1,113.243443,23.108567
第十甫路 ,1,113.242773,23.113434
十七甫北 ,1,,
康王南路 ,1,113.248721,23.112715
涌边一马路 ,1,113.233304,23.117616
桥中花园 ,1,113.222906,23.136987
凯德双桥8号 ,1,113.222573,23.126985
逢源轩 ,1,113.239687,23.117984
西华苑 ,1,113.243367,23.13325
富力盛悦居 ,1,113.238562,23.120356
保利西悦湾观澜 ,1,113.224478,23.080631
万盛苑 ,1,113.223048,23.106777
贵贤上品 ,1,113.241343,23.121214
金盈居 ,1,113.240339,23.12929
富力路 ,1,113.237543,23.133859
龙津世家 ,1,113.243434,23.124469
恒大御景半岛 ,109,113.334726,23.040916
金名都 ,60,,
时代水岸二期 ,52,113.583365,22.746314
时代糖果一期 ,25,113.402831,23.165029
时代糖果二期 ,25,113.402831,23.165029
中海金沙里 ,25,113.205412,23.148327
沙面新城 ,21,,
新荔湾花园 ,20,,
恒大御景湾 ,20,113.33901,23.051014
中海金沙湾A区 ,18,113.326705,23.187735
白天鹅花园 ,17,113.338493,23.186476
时代糖果三期 ,16,113.402831,23.165029
中海金沙湾B区 ,15,113.383681,23.100805
时代水岸一期 ,13,113.583365,22.746314
中海金沙湾C区 ,10,,
时代天境 ,9,113.514282,23.168349
万科四季花城提香公寓 ,9,113.187409,23.155135
时代水岸三期 ,8,113.583365,22.746314
万科四季花城蔷薇苑 ,7,113.187409,23.155135
岐海苑 ,7,,
敏捷花城里 ,6,113.336047,23.168121
万科四季花城海棠苑 ,6,113.187409,23.155135
新希望金沙公馆 ,5,113.206619,23.152111
万科四季花城灏山美筑 ,5,113.187409,23.155135
万科四季花城悦山美筑 ,4,113.606886,23.185012
万科四季花城俪姗美筑 ,4,113.187409,23.155135
万科四季花城云山美筑 ,4,113.187409,23.155135
万科四季花城天竹轩 ,4,113.187409,23.155135
恒大御景半岛紫杉湖 ,3,,
万科四季花城茉莉苑 ,3,113.187409,23.155135
万科四季花城汇竹轩 ,3,113.187409,23.155135
万科四季花城米兰苑 ,3,113.187409,23.155135
万科四季花城丹桂苑 ,3,113.187409,23.155135
万益广场 ,3,,
时代糖果别墅区 ,3,113.402831,23.165029
万科四季花城丹枫苑 ,2,113.187409,23.155135
万科四季花城百合苑 ,2,113.187409,23.155135
万科四季花城尚山美筑 ,2,113.187409,23.155135
万科四季花城碧榕苑 ,2,113.187409,23.155135
万科四季花城商铺 ,2,113.187409,23.155135
万科四季花城云竹轩 ,2,113.187409,23.155135
万科四季花城涛竹轩 ,2,113.187409,23.155135
万科四季花城伴山美筑 ,1,113.187409,23.155135
万科四季花城玉兰苑 ,1,113.187409,23.155135
万科四季花城别墅 ,1,113.187409,23.155135
万科四季花城铃兰苑 ,1,113.187409,23.155135
万科四季花城牡丹苑 ,1,113.187409,23.155135
万科四季花城海竹轩 ,1,113.187409,23.155135
万科四季花城富竹轩 ,1,113.187409,23.155135
万科四季花城玫瑰苑 ,1,113.187409,23.155135
万科四季花城文竹轩 ,1,113.187409,23.155135
恒大御景半岛丹桂湖 ,1,113.334726,23.040916
万科四季花城紫竹轩 ,1,113.187409,23.155135
越秀滨海新城 ,67,113.548798,22.815375
阳光城丽景湾·澜悦 ,34,113.543333,22.818314
万科南方公元 ,24,113.501579,22.805942
阳光城悦然府 ,23,113.54143,22.803794
阳光城丽景湾·星悦 ,20,113.543333,22.818314
越秀滨海御城二区 ,20,113.541274,22.789628
叠翠峰 ,15,113.520491,22.798031
南沙境界 ,15,113.525642,22.810638
越秀东坡 ,12,113.566809,22.801731
金科博翠明珠 ,10,113.508485,22.764905
时代南湾 ,10,113.59206,22.777407
南沙奥园 ,9,113.592807,22.755399
南沙碧桂园 ,9,113.558079,22.794098
碧桂园天玺湾 ,9,113.576845,22.797615
保利星满花园 ,8,113.351749,22.834877
海力花园 ,8,113.573597,22.800845
星河·东悦湾 ,8,113.530411,22.807935
南沙金茂湾 ,7,113.519699,22.780775
丰庭花园 ,7,113.537592,22.790196
万科白鹭郡 ,7,113.308229,23.108406
万科府前一号 ,7,113.308229,23.108406
南沙珠江湾 ,7,113.581563,22.742123
中大城 ,7,113.537684,22.79307
南沙万达广场 ,7,113.531447,22.794593
南沙湾东苑 ,6,113.609965,22.765073
南沙金湾 ,6,113.557483,22.798788
越秀滨海御城 ,6,113.541274,22.789628
富力天海湾 ,6,113.564566,22.748681
新玥花园 ,6,113.344722,22.829854
名苑别墅 ,5,113.473485,22.875046
南沙保利南怡湾 ,5,113.489375,22.825656
越秀滨海隽城 ,5,113.534761,22.790314
南沙碧桂园豪庭 ,5,113.545916,22.789447
华润置地·瑞府 ,5,113.430422,23.142431
越秀滨海悦城 ,5,113.530759,22.792643
富力伯爵山 ,5,113.587608,22.764417
星河山海湾 ,5,113.609353,22.761007
广晟海韵兰庭 ,4,113.545251,22.806717
滨海水晶湾 ,4,113.531878,22.776362
星河丹堤 ,4,113.564644,22.77342
南沙保利城 ,4,113.498074,22.830682
中惠璧珑湾 ,4,113.530164,22.800446
碧桂园海湾1号 ,4,113.605294,22.757692
逸涛雅苑 ,4,113.54064,22.808257
南沙·十里方圆 ,4,113.500963,22.814872
真功夫总部大楼 ,4,113.547216,22.795334
敏捷尚品国际 ,4,113.560507,22.7983
绿城美的·晓风印月 ,4,,
逸涛半岛 ,4,113.545169,22.810398
南沙水恋 ,3,113.525178,22.801435
中国铁建环球中心 ,3,113.520989,22.801849
时代长岛 ,3,113.57265,22.798601
保利半岛南地块 ,3,113.536385,22.814205
碧桂园蜜柚 ,3,113.56072,22.799791
通大旭日园 ,3,113.541538,22.797803
时代香海彼岸 ,3,113.583365,22.746314
星河盛世 ,3,113.545439,22.803473
南沙云山诗意 ,3,113.530902,22.789784
观海美寓 ,2,113.576823,22.744065
越秀天珹 ,2,113.542945,22.79446
双晖轩小区 ,2,,
时代绿庭山语 ,2,113.395457,22.804648
越秀明珠天悦江湾 ,2,113.502973,22.771212
越秀滨海汇 ,2,113.540332,22.791326
南沙大都汇 ,2,113.525178,22.801435
珠江源昌花园 ,2,113.525116,22.720058
港航华庭 ,2,113.580338,22.797083
柳岸晓风 ,2,113.508367,22.767076
龙光棕榈水岸南区 ,2,113.523129,22.789292
中国铁建海语熙岸 ,2,113.517926,22.789423
大岗翡翠蓝湾北区 ,2,113.420351,22.804254
华海山屿海 ,2,113.589819,22.774098
星河·湾区壹号 ,2,113.547897,22.794688
云水雅苑 ,2,113.497662,22.747526
海璟奥园 ,2,113.539194,22.797986
时代云图 ,2,113.546537,22.792221
越秀国际总部广场 ,2,113.542385,22.793383
广隆苑 ,2,113.541395,22.781325
南沙·富力唐宁 ,2,113.588413,22.763928
保利半岛 ,2,113.536385,22.814205
敏捷君御国际 ,2,113.552767,22.799113
时代天逸 ,2,113.521412,22.825951
南沙心意华庭 ,2,113.547901,22.780591
中海熙园 ,1,113.451515,22.884179
海棠花园(南沙) ,1,113.566393,22.799641
龙光棕榈水岸北区 ,1,113.524756,22.792504
南沙城 ,1,113.538205,22.798718
中国铁建海悦国际 ,1,113.534925,22.703993
万科海上明月 ,1,113.490097,22.804715
美的云筑 ,1,113.454585,22.850187
创鸿嘉园 ,1,113.542831,22.797972
珠光南沙御景 ,1,113.544857,22.797784
富港花园 ,1,113.552314,22.801016
阳光城丽景湾领悦 ,1,113.543333,22.818314
湾区·金融城 ,1,113.508491,22.757086
阳光城熙然府 ,1,113.542769,22.8021
大岗翡翠蓝湾南区 ,1,113.4222,22.801045
阳光城香缇溪岸 ,1,113.542585,22.80369
长江数码花园(南沙) ,1,113.520454,22.758424
豪岗花园 ,1,113.403958,22.799308
南沙湾石奥 ,1,113.602368,22.775794
中海联南沙国贸中心 ,1,113.544791,22.794581
紫茗花园 ,1,113.551887,22.802532
盈港国际 ,1,113.581064,22.798574
滨海半岛 ,1,113.52966,22.787346
中交汇通中心 ,1,113.52241,22.766118
时代维港 ,1,113.584035,22.798231
人民路 ,1,113.486089,22.972993
金山谷四期 ,18,113.344081,22.970201
祈福缤纷汇 ,17,113.331628,22.9704
祈福新村康怡居 ,10,113.325406,22.958314
祈福新村青怡居 ,10,113.325288,22.964811
同创誉城 ,10,113.377513,23.008633
洛涛南区 ,9,113.305336,23.03832
华侨城(番禺) ,8,,
祈福新村湖景居 ,8,113.328351,22.95807
诺德名都 ,7,113.345271,22.989721
顺德碧桂园芷兰湾 ,7,113.286421,22.92122
万科欧泊 ,7,113.355984,23.01073
大北路 ,7,113.368559,22.94904
锦绣半岛西区 ,6,113.257631,23.041574
亚运城天峯1区 ,6,113.490313,22.947399
雅居乐城南源著 ,6,113.365174,22.907276
香柏华府 ,6,,
广州碧桂园华苑 ,5,113.292332,23.027987
倚莲半岛花园 ,5,113.491517,22.996887
珠江花园 ,5,113.345807,23.031561
凯德山海连城二期 ,5,113.510504,23.015357
越秀和樾府二期 ,5,,
方圆大学时光 ,5,113.404998,23.040553
信业悦都荟 ,5,113.365645,22.973489
尚上名筑一区 ,4,113.488911,22.956613
新城市宜家 ,4,113.314413,23.0187
华荟明苑 ,4,113.301769,23.048406
康裕园 ,4,113.353925,22.943586
亚运城媒体村(南区) ,4,113.475015,22.944376
锦绣半岛东区 ,4,113.261564,23.044861
祈福新村蝶舞轩 ,4,113.322219,22.957879
锦绣银湾 ,4,113.32649,23.028147
越秀可逸江畔 ,4,113.364084,22.907
敏捷上城商务中心 ,4,113.552707,22.799181
钟村商贸城 ,4,113.314968,22.981977
广州奥林匹克花园 ,4,113.307678,23.043528
尚上名筑二期 ,3,113.488911,22.956613
亚运城天峯3区 ,3,113.492656,22.945267
东方白云花园 ,3,113.389467,22.948761
富丽家园乳芳园 ,3,113.312073,23.027245
珠江铂世湾 ,3,113.364644,23.023344
时代柏林 ,3,113.357473,22.919053
鸿城花园 ,3,,
东方花园又一村 ,3,113.378398,22.930144
亚运城天珑 ,3,113.500562,22.944646
广地花园 ,3,113.338475,23.01992
中国铁建·花语岭南 ,3,113.345168,22.973126
祈福新村祈福名都 ,3,113.322364,22.964712
丽江花园康城居 ,3,113.30164,23.029928
华南新城南区 ,3,113.350613,23.021161
海印又一城海印星玥 ,3,113.348166,22.999088
桥福园 ,3,113.383387,22.948041
星尚花园 ,3,,
敏捷伊顿公馆 ,3,113.342151,22.967927
富丽家园福泰园 ,3,113.313528,23.027422
自在城市花园四期诺德名筑 ,2,113.346242,22.988315
锦绣花园南区 ,2,113.310483,22.969417
海怡花园 ,2,,
广州雅居乐花园新地沁园 ,2,113.370537,23.008603
丽江花园德荫楼 ,2,113.300284,23.035582
亚运城媒体北村 ,2,113.496839,22.945668
奥园养生广场 ,2,113.375821,22.913719
东华花园 ,2,113.391691,22.940641
榕苑 ,2,113.27575,23.071549
金龙城财富广场 ,2,113.430978,22.936458
丽江花园华林居 ,2,113.299563,23.031076
香缤豪庭 ,2,113.351057,22.920977
祈福新村C区 ,2,113.333459,22.963235
丽江花园丽波楼 ,2,113.302291,23.034904
丽江花园星海洲 ,2,113.303758,23.033377
南国奥园 ,2,113.32423,22.98666
锦绣香江花园紫荆园 ,2,113.282338,23.10502
汇庭雅苑 ,2,113.370071,22.922834
丽江花园德汇楼 ,2,113.299849,23.034865
珊瑚湾畔 ,2,113.346283,23.037404
康泰苑 ,2,,
凯德山海连城 ,2,113.510504,23.015357
敏捷四季花园 ,2,113.317519,23.015467
美心翠拥华庭一期 ,2,113.399867,22.937167
莲花湾畔花园 ,2,113.493875,22.973027
亚运城天荟 ,2,113.477717,22.940344
亚运城天成2区 ,2,113.477872,22.94761
越秀和樾府一期 ,2,,
康乐园 ,2,113.359958,22.94575
金海岸花园金石碧苑 ,2,113.403467,22.935874
招商金山谷MINI-TOP ,2,113.344197,22.97809
万科世博汇 ,2,113.279771,22.985495
广州碧桂园丽苑 ,2,113.293359,23.026898
华进明苑 ,2,113.304698,23.042443
银都大厦 ,2,113.361394,22.948413
广州碧桂园美苑 ,2,113.2918,23.026196
尚上名筑三期 ,2,113.488911,22.956613
海天花园 ,2,113.295108,23.044162
禺秀园 ,2,113.359213,22.941322
祈福水城 ,2,113.35275,22.909467
朗陶居 ,2,113.364262,22.917573
佰利山 ,2,113.388063,23.019784
星海国际 ,2,113.372513,22.943975
海伦堡流金岁月 ,2,113.352247,22.925684
奥园广场 ,2,113.361094,22.924262
北丽园 ,2,113.363237,22.943476
丽江花园丽茹楼 ,2,113.300635,23.034434
岐山中路 ,2,113.439148,22.956634
