位置,次数
阳光城熙然府 ,1
大岗翡翠蓝湾南区 ,1
阳光城香缇溪岸 ,1
长江数码花园(南沙) ,1
豪岗花园 ,1
南沙湾石奥 ,1
中海联南沙国贸中心 ,1
紫茗花园 ,1
盈港国际 ,1
滨海半岛 ,1
中交汇通中心 ,1
时代维港 ,1
人民路 ,1
金山谷四期 ,18
祈福缤纷汇 ,17
祈福新村康怡居 ,10
祈福新村青怡居 ,10
同创誉城 ,10
洛涛南区 ,9
华侨城(番禺) ,8
祈福新村湖景居 ,8
诺德名都 ,7
顺德碧桂园芷兰湾 ,7
万科欧泊 ,7
大北路 ,7
锦绣半岛西区 ,6
亚运城天峯1区 ,6
雅居乐城南源著 ,6
香柏华府 ,6
广州碧桂园华苑 ,5
倚莲半岛花园 ,5
珠江花园 ,5
凯德山海连城二期 ,5
越秀和樾府二期 ,5
方圆大学时光 ,5
信业悦都荟 ,5
尚上名筑一区 ,4
新城市宜家 ,4
华荟明苑 ,4
康裕园 ,4
亚运城媒体村(南区) ,4
锦绣半岛东区 ,4
祈福新村蝶舞轩 ,4
锦绣银湾 ,4
越秀可逸江畔 ,4
敏捷上城商务中心 ,4
钟村商贸城 ,4
广州奥林匹克花园 ,4
尚上名筑二期 ,3
亚运城天峯3区 ,3
东方白云花园 ,3
富丽家园乳芳园 ,3
珠江铂世湾 ,3
时代柏林 ,3
鸿城花园 ,3
东方花园又一村 ,3
亚运城天珑 ,3
广地花园 ,3
中国铁建·花语岭南 ,3
祈福新村祈福名都 ,3
丽江花园康城居 ,3
华南新城南区 ,3
海印又一城海印星玥 ,3
桥福园 ,3
星尚花园 ,3
敏捷伊顿公馆 ,3
富丽家园福泰园 ,3
自在城市花园四期诺德名筑 ,2
锦绣花园南区 ,2
海怡花园 ,2
广州雅居乐花园新地沁园 ,2
丽江花园德荫楼 ,2
亚运城媒体北村 ,2
奥园养生广场 ,2
东华花园 ,2
榕苑 ,2
金龙城财富广场 ,2
丽江花园华林居 ,2
香缤豪庭 ,2
祈福新村C区 ,2
丽江花园丽波楼 ,2
丽江花园星海洲 ,2
南国奥园 ,2
锦绣香江花园紫荆园 ,2
汇庭雅苑 ,2
丽江花园德汇楼 ,2
珊瑚湾畔 ,2
康泰苑 ,2
凯德山海连城 ,2
敏捷四季花园 ,2
美心翠拥华庭一期 ,2
莲花湾畔花园 ,2
亚运城天荟 ,2
亚运城天成2区 ,2
越秀和樾府一期 ,2
康乐园 ,2
金海岸花园金石碧苑 ,2
招商金山谷MINI-TOP ,2
万科世博汇 ,2
广州碧桂园丽苑 ,2
华进明苑 ,2
银都大厦 ,2
广州碧桂园美苑 ,2
尚上名筑三期 ,2
海天花园 ,2
禺秀园 ,2
祈福水城 ,2
朗陶居 ,2
佰利山 ,2
星海国际 ,2
海伦堡流金岁月 ,2
奥园广场 ,2
北丽园 ,2
丽江花园丽茹楼 ,2
岐山中路 ,2
庄士映蝶蓝湾 ,2
东方花园3区 ,2
福景园 ,2
雄峰城 ,2
德安新村 ,2
祈福新村天湖居 ,2
华南碧桂园岭御苑 ,2
侨联社区新城区 ,2
智联·汽车小镇 ,2
吉祥道 ,2
锦绣趣园 ,2
品秀·星瀚 ,2
祈福新村绿怡居 ,2
禺雅园 ,2
大西路 ,2
祈福新村A区 ,2
长江数码花园(番禺) ,2
亚运城天誉 ,2
万科金色城品 ,2
正太广场 ,2
瑞和园 ,2
敏捷华美国际 ,2
石碁城市花园 ,2
富豪山庄 ,2
东逸华庭 ,2
宝翠苑 ,2
番禺奥林匹克花园 ,2
富丽家园富昌花园 ,2
亚运城天骄 ,1
富丽家园丽水湾 ,1
金山谷尚层 ,1
星誉花园 ,1
时代倾城(番禺区) ,1
滨江绿园 ,1
盛会国际公寓 ,1
温馨里 ,1
雅居乐花园浅山小筑 ,1
吉祥北街 ,1
亚运城运动员村三区 ,1
金沙诚筑 ,1
广州星河湾朗心园 ,1
华南新城北区 ,1
富丽家园百丰楼 ,1
海傍路海傍后街 ,1
东晟明珠花园 ,1
悦尚公馆 ,1
华南碧桂园翠云山 ,1
祈福新村D区 ,1
吉祥北园D区 ,1
亚运城天成 ,1
保利公馆2010亚奥南苑 ,1
富庭华园 ,1
自在城市花园一二期 ,1
星河湾赏心园 ,1
金海岸花园聚湖 ,1
康裕北苑 ,1
富庭东园 ,1
顺德碧桂园东苑 ,1
丹桂园 ,1
广州碧桂园雅苑 ,1
祈福新村迎风阁 ,1
富丽家园福宁园 ,1
南浦长大公司 ,1
海伦堡花样年华一期 ,1
江山帝景 ,1
雅居乐花园雅湖居 ,1
中颐海伦堡花样年华二期 ,1
如意花园 ,1
锦绣生态园 ,1
华荟南景园 ,1
华怡居 ,1
锦绣香江花园山水华府 ,1
银行后街 ,1
尚东尚筑 ,1
尚东嘉御 ,1
松苑小区 ,1
万丰路 ,1
南兴花园(番禺区) ,1
富庭雅园北区 ,1
奥园莲峰圣境 ,1
祈福新村都市活力花园 ,1
美心花园 ,1
喜盈雅境 ,1
富丽家园三和大厦 ,1
美心东苑 ,1
景福大厦 ,1
广州星河湾星河六号园 ,1
亚运城天韵 ,1
鑫隆世家 ,1
中环品悦 ,1
珑翠花园 ,1
侨宫苑 ,1
园丰小区 ,1
江南新村 ,1
解放路(市桥) ,1
光明北路241号大院 ,1
祈福新村绿怡南路 ,1
市桥大南路 ,1
富丽家园 ,1
工业路 ,1
顺德碧桂园彩云居 ,1
邮电局大厦 ,1
广州雅居乐花园花巷 ,1
碁龙西路 ,1
广晟万博城 ,1
裕林苑 ,1
恒生苑 ,1
芳华花园洛涛居北区 ,1
盈创水悦轩 ,1
西兴苑 ,1
海印总统公馆 ,1
石碁荔新大道 ,1
富丽家园渝达大厦 ,1
广州雅居乐花园雅翠庭 ,1
华海大厦 ,1
富丽家园朝阳西路 ,1
富丽家园华贵大厦 ,1
天睿 ,1
田心社区 ,1
广州雅居乐花园时光九篇 ,1
德祥路 ,1
粮所宿舍 ,1
西城路(番禺区) ,1
繁华路 ,1
恒盛苑 ,1
西城花园 ,1
顺景苑(番禺区) ,1
北城白云花园 ,1
新广路 ,1
东圆新村 ,1
番禺永兴楼 ,1
鸿禧华庭 ,1
番艺花园 ,1
金侨岭南院 ,1
万科云城米酷 ,14
远洋天骄广场 ,14
环宇花园 ,12
新燕花园 ,8
天河新天地 ,8
富力万科云启 ,8
铂林国际公寓 ,7
阳光家园(天河) ,6
星河苑 ,6
恒大珺睿 ,6
保利林海山庄 ,6
先烈东横路 ,5
侨乐新村 ,5
富力爱丁堡国际公寓 ,5
宝翠园 ,5
天健上城 ,5
保利世纪绿洲一期 ,4
力迅上筑 ,4
先烈东路 ,4
天鹅花苑 ,3
瑞心苑 ,3
广信牡丹阁 ,3
金地天河峯睿 ,3
易丰大厦 ,3
龙岗东小区 ,3
中强雅苑 ,3
侨源山庄 ,3
公路局大院 ,3
陶苑小区 ,3
铂金公寓 ,3
财富世纪广场 ,2
富星商贸大厦 ,2
远洋天骄 ,2
民政局大院 ,2
棠德花苑 ,2
水荫路永福正街 ,2
信成小区 ,2
龙岗路34号大院 ,2
骏景花园 ,2
御晖苑 ,2
先烈东二横路 ,2
金建苑 ,2
建丽花园 ,2
耀星华庭 ,2
橡树园 ,2
富力天朗明居 ,2
天逸名都 ,2
天惠大厦 ,2
迎翠春庭 ,2
光机电研究所 ,2
广之旅大厦 ,2
水务局三防办 ,2
天诚广场 ,2
东河苑 ,1
叠翠台 ,1
华南国家植物园  ,1
国光小区 ,1
天河北苑 ,1
法院小区  ,1
燕塘大院 ,1
电子五所宿舍 ,1
华景新城叠翠居 ,1
聚侨苑 ,1
金富苑 ,1
美林湖畔花园 ,1
广东建材学校宿舍 ,1
天河区离退休干部第二休养所 ,1
禺东西路大洲地 ,1
兴禺大厦 ,1
象牙厂宿舍 ,1
司法局宿舍(天河区) ,1
水荫四横路 ,1
天河鸿运花园 ,1
南兴花园(天河区) ,1
瘦狗岭路9号大院 ,1
联泰天河YOHO ,1
龙岗路 ,1
广东工业大学沙河校区 ,1
冠庭园 ,1
德荣小区 ,1
粤垦路红英街 ,1
南方电网宿舍 ,1
银燕大厦 ,1
育龙居 ,1
保利世纪绿洲二期 ,1
金燕花苑 ,1
先烈东横路7号大院 ,1
力达广场 ,1
沙和路沙东大街 ,1
杂技团宿舍 ,1
金碧翡翠华庭 ,1
卫生院宿舍 ,1
加拿大花园 ,1
恒达苑 ,1
有色金属研究院西生活区 ,1
广厦居 ,1
有色金属研究院东生活区 ,1
天雅阁 ,1
员村西街7号大院 ,1
凯旋新世界枫丹丽舍 ,1
龙口花苑 ,1
广利路 ,1
保利天汇 ,1
翰景轩 ,1
兰亭盛荟 ,1
天一新村 ,1
农工商学院 ,1
杨箕东小区 ,1
天河直街102-120号宿舍(双号) ,1
振东花苑 ,1
六运小区 ,1
江源半岛花园 ,1
竹丝岗大马路 ,24
东华东路 ,20
农林下路 ,16
环市东路 ,15
梅花村 ,13
盘福路 ,10
解放北路(越秀区) ,10
大德路 ,9
水荫路 ,9
水荫直街 ,8
东川路 ,8
解放中路 ,8
小北路 ,7
竹丝岗二马路 ,7
永福路永福西约 ,7
万科金色家园 ,7
淘金路 ,7
大新路 ,6
文德路 ,6
黄田小区 ,6
华侨乐园 ,6
东华西路 ,6
惠福西路 ,6
中山四路 ,5
下塘西路 ,5
东方花苑 ,5
建设二马路 ,5
竹丝村 ,5
气象局大院 ,5
五羊小区 ,5
达道路 ,5
区庄村 ,5
海珠北路 ,4
共和南路 ,4
龟岗大马路 ,4
东兴小区 ,4
海珠中路 ,4
都府社区 ,4
文明路 ,4
执信南路 ,4
共和路 ,4
华侨新村 ,4
保利麓苑 ,4
东风广场 ,4
锦桦大厦锦桦荟 ,4
海印大厦 ,3
海印苑 ,3
东湖新村 ,3
东风东路 ,3
新河浦路 ,3
德政北路 ,3
东湖北大院 ,3
广发花园 ,3
东川大厦 ,3
福今北 ,3
福今东 ,3
先烈中路81号大院 ,3
农林华府 ,3
惠福东路 ,3
竹丝岗二马路39号大院 ,3
梅东路 ,3
中山一路 ,3
纸行路 ,3
环球广场 ,3
净慧路 ,3
金湾畔大厦 ,3
寺右二马路 ,3
中山三路 ,3
朝天路 ,3
教工新村 ,3
共和西小区 ,3
丽苑大厦(越秀区) ,3
湖滨小区 ,3
金羊花园 ,3
应元路 ,3
福今路 ,3
三育路 ,3
珠光雅居 ,2
珠光路 ,2
八旗二马路 ,2
福今路3号大院 ,2
东风东路754号之一大院 ,2
东湖铭泰公馆 ,2
白云大厦 ,2
光塔路 ,2
黄花新村 ,2
共和苑 ,2
菜园西 ,2
羊和园 ,2
大东门华庭 ,2
麓苑路 ,2
农林东路 ,2
东园新村 ,2
大沙头路 ,2
诗书路 ,2
越瑞大厦 ,2
广州机务段 ,2
广东国际大厦 ,2
锦源国际公寓 ,2
环市中路 ,2
东山公寓 ,2
越秀北路 ,2
东兴南小区 ,2
力迅商务大厦 ,2
冠城大厦 ,2
人民北路 ,2
起义路 ,2
恒福路11号大院 ,1
法政路 ,1
富宏花园 ,1
省政协宿舍 ,1
中山五路 ,1
东环路6号大院 ,1
德政中路 ,1
联发名阁 ,1
体委大院 ,1
站西路 ,1
六榕路 ,1
明达大厦 ,1
金麓山庄 ,1
翰林尚品 ,1
麓景东路 ,1
铁路大院 ,1
童心路 ,1
观湖雅轩 ,1
培正一横路 ,1
碧翠苑 ,1
百好居 ,1
广园东路 ,1
广信美景大厦 ,1
老报社大院 ,1
小北大厦 ,1
嘉诚国际公寓 ,1
农林上路 ,1
筑北商住楼 ,1
云鹤园 ,1
幸福小区 ,1
麓湖轩 ,1
淘金家园峯璟 ,1
万福路 ,1
中山二路 ,1
菜园东 ,1
小东园 ,1
宝山大厦 ,1
福今西 ,1
天秀大厦 ,1
金悦东山国际公馆 ,1
大新大厦 ,1
越秀花苑大厦 ,1
东园路 ,1
广信豪景大厦 ,1
海印花园 ,1
粮食局宿舍 ,1
烟墩路 ,1
东悦居 ,1
辉煌大厦 ,1
俊逸阁 ,1
东风东路754号大院 ,1
天字广场 ,1
培正路 ,1
龟岗三马路 ,1
长堤大马路 ,1
市委党校大院 ,1
北京路 ,1
庙前直街 ,1
一德路 ,1
共和西苑 ,1
海珠南路 ,1
东华市场东华东路 ,1
先烈中路 ,1
教育路(越秀) ,1
寺贝楼 ,1
淘金坑 ,1
海鹰大厦 ,1
东山华丰大厦 ,1
东华南路白云楼 ,1
梅花路 ,1
越华大厦 ,1
东山铭泰公馆 ,1
淘金家园二三期 ,1
北京南路 ,1
房建大厦 ,1
象岗山 ,1
广工大院 ,1
德雅轩 ,1
天誉商务大厦 ,1
三木国际公寓 ,1
建雅台 ,1
米市路 ,1
百灵路 ,1
天伦花园 ,1
北较场路 ,1
百兴苑 ,1
府前铭泰 ,1
太和岗路22号大院 ,1
文德先生 ,1
侨力大厦 ,1
仁济路 ,1
瑶泉新苑 ,1
文德广场 ,1
南天大厦 ,1
永福楼 ,1
嘉兰轩 ,1
保利中航城花园一期 ,54
保利中航城二期 ,36
品秀星图 ,28
保利立方花园 ,25
万科春风十里 ,24
东方名都花园 ,19
锦绣新天地 ,15
中海联睿品 ,14
保利平方花园 ,13
科慧花园 ,10
恒大山水城 ,10
香江天赋 ,10
新都盛世名门宏城汇 ,8
中国铁建国际花园 ,8
实地蔷薇国际 ,8
西福蓝湾 ,8
广汇尊府 ,8
尚东阳光 ,8
御溪世家 ,7
新都盛世名门 ,7
保利中海金地·大国璟 ,6
恒大山水郡 ,6
金色港湾 ,6
汇东国际花园 ,6
合汇学府名郡 ,5
顺欣花园 ,5
新塘新世界花园万象苑 ,5
保利东江首府 ,5
金地香山湖 ,5
中海联智汇城 ,5
海伦堡花园 ,5
时代名著(增城) ,5
荔富湖畔 ,5
碧桂园豪进左岸 ,4
碧桂园城市花园漫绿苑 ,4
富雅都市华庭 ,4
碧桂园豪进广场 ,4
海伦春天 ,4
绿地珑玥府 ,4
亚太新城亚太银座一期 ,4
奥园誉峯 ,4
荔城尚东 ,3
亚太新城亚太银座二期 ,3
金地荔湖城公园上城 ,3
碧桂园映象 ,3
华润置地公园上城 ,3
金泽华庭 ,3
合景誉山国际三区 ,3
新康花园 ,3
增城时代廊桥 ,3
富雅名居 ,2
碧桂园凤凰城凤盈苑 ,2
金时花园 ,2
广州万科城 ,2
宏达北路 ,2
创基丽江国际 ,2
广州敏捷绿湖首府 ,2
恒展江山时代花园 ,2
锦绣御景国际四期 ,2
水电二局宿舍 ,2
大华东郡府 ,2
挂绿路 ,2
锦绣御景国际二期 ,2
逸翠庄园 ,2
中建荔苑 ,2
新景豪庭 ,2
叠溪花园 ,2
碧桂园城市花园花岸苑 ,2
荔城碧桂园 ,2
豪进山湖珺璟 ,2
翡翠绿洲湖绣苑 ,2
侨建御溪谷北区 ,2
东江逸珑湾 ,2
合景花漫里 ,2
敏捷东樾府 ,2
水电广场 ,2
碧桂园豪园挂绿湖 ,2
景新国际名城 ,2
继枚路 ,2
长风国际公寓 ,2
碧桂园中心 ,2
招商臻园 ,1
万科金色里程 ,1
汇港威华雅苑 ,1
凤秀家园 ,1
亚太新城富群苑 ,1
碧桂园豪园荔山苑 ,1
金地荔湖城水立坊 ,1
金泽豪庭一期 ,1
新塘新世界花园嘉华苑 ,1
万科桃源里 ,1
碧桂园荔园 ,1
碧桂园凤凰城凤晴苑 ,1
碧桂园中新首府 ,1
亚太新城富丽园 ,1
中新紫荆府 ,1
金泽花园 ,1
新塘新世界花园嘉怡苑 ,1
时代倾城(增城区) ,1
汇美体育花园 ,1
力诚凯怡湾 ,1
金马香颂居 ,1
丰泰城市公馆 ,1
碧桂园云顶 ,1
迪亚春天花园 ,1
翡翠绿洲森林半岛 ,1
增城雅居乐御宾府 ,1
广州敏捷绿湖首府二期 ,1
誉山国际五区学府里 ,1
太阳城巧克力 ,1
金茂万科都会四季 ,1
碧桂园凤凰城凤馨苑 ,1
南山丰景二期 ,1
惠百氏广场 ,1
恒福花园 ,1
时尚广场 ,1
东凌广场 ,1
翡翠绿洲育才阳光苑 ,1
碧桂园凤凰城凤仪苑 ,1
合生湖山国际5期峰荟 ,1
敏捷锦绣天伦 ,1
岗前路 ,1
莲园新村 ,1
莲园路 ,1
中建联投学府悦城 ,1
卫山东二路 ,1
太平洋花园 ,1
商业大厦生活小区 ,1
城市家园二期 ,1
景江大厦 ,1
通园中路 ,1
新利大厦 ,1
西城路五福街 ,1
城市家园一期 ,1
佳兆业佳泽园 ,1
富好城 ,1
增城万达广场 ,1
碧桂园凤凰城凤妍苑 ,1
翡翠绿洲湖滨苑 ,1
方圆云山诗意云玺 ,1
乐活小镇 ,1
